ï»¿abstract_number,date,position,poster_id,presenter,row,sector,session,title,co_authors
"794","12/04 12:00","1","P0001","Sireethorn NIMITVILAI","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Statins under-prescription in people with HIV in Thailand","S. Nimitvilai|W. Thammaprasert|U. Poonwiwatchaikarn"
"1081","12/04 12:00","3","P0003","Jose Ignacio MATEO GONZALEZ","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","NAFLD and hepatitis B status as predictors of liver fibrosis in PLWH who switch to LA-ART","J. Mateo-Gonzalez|M. Plaza-De-La-Torre|D. Martinez-Perez|J. Martinez-Andres|E. Ballester-Belda|V. Abril-Lopez-De-Medrano|M. Garcia-Rodriguez|C. Ricart-Olmos|M. Garcia-Deltoro"
"1085","12/04 12:00","4","P0004","Prakash GOSAIN","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Development of engineered nanocarrier for controlled delivery of a protease inhibitor","P. Gosain|M. Bhargava"
"1723","12/04 12:00","6","P0006","Seyed Aria NEJADGHADERI","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Three decades of HIV/AIDS in Iran: epidemiological trends, socioeconomic impacts, and risk factors","S. Nejadghaderi|M. Bastan|M. Abdi|A. Iranpour|H. Sharifi"
"1846","12/04 12:00","7","P0007","Honey Jane BLANCO-LIMOS","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Incidence density and risk factors of hepatitis B and/or hepatitis C co-infection among newly enrolled HIV patients in a tertiary government hospital treatment hub","L. Avecilla|H. Blanco-Limos"
"1924","12/04 12:00","8","P0008","Paula SUANZES","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","CMV disease predictors and CMV viremia impact on immune reconstitution in advanced HIV infection","P. Suanzes|A. Gonzalez-Amezcua|A. Curran|M. Marcos|P. Domingo|R. Paredes|M. Saumoy|C. Manzardo|E. Bonfill|N. Climent|M. Plana|V. Falco|F. Torres|J. Miro"
"2055","12/04 12:00","9","P0009","Seyed Aria NEJADGHADERI","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","A nationwide survey on self-perception of HIV acquisition risk among people in prisons in Iran","Z. Abdolahinia|S. Nejadghaderi|S. Mehmandoost|A. Haghdoost|A. Iranpour|M. Karamouzian|H. Sharifi"
"2170","12/04 12:00","10","P0010","Milosz PARCZEWSKI","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Influence of immune exhaustion receptors PD-1 and PD-1L on immune reconstitution in ART-treated patients living with HIV","B. Aksak-Was|K. Skonieczna-Zydecka|M. Parczewski|R. Hrynkiewicz|F. Lewandowski|K. Serwin|K. Mielczak|F. Lenkiewicz|P. Niedzwiedzka-Rystwej"
"2210","12/04 12:00","11","P0011","Masa JOVANOVIC","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Treatment and follow-up of HIV-infected patients diagnosed during the COVID-19 pandemic","M. Jovanovic|K. Jovcic|A. Despotovic|D. Salemovic|D. Jevtovic"
"2505","12/04 12:00","12","P0012","Marta ILLESCAS-LÓPEZ","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Whole-genome sequencing: new strategies for managing HIV","M. Illescas-Lopez|L. Perez-Rodriguez|L. Aguilera-Muros|L. Chaves-Blanco|F. Garcia"
