Session ID,Hall,Presentation ID,Time,Details
,,W0009,08:30,"Sampling and culturing anaerobesHugo Cruz (Porto, Special Session Portugal) Antimicrobial Stewardship in Different Scenarios W0010 08:50 I have an anaerobe: what is it and does it matter?Kathleen Boiten (Groningen, Netherlands) Chairs Murat Akova (Ankara, Türkiye) Andre Fuchs (Augsburg, Germany) W0011 09:10 Actinomyces in clinical samples: when is it worth the Maddalena Giannella (Bologna, Italy) trouble?Eija Inkeri Könönen (Turku, Finland) Angela Huttner (Geneva, Switzerland) W0012 09:30 Nocardiosis: when to test and how to manage Benedikt Huttner (Geneva, Switzerland) results?David Lebeaux (Paris, France) Jose Ramon Pano-Pardo (Zaragoza, Spain) Co-organised with: ESCMID Study Group for Anaerobic Infections (ESGAI), Galadriel Pellejero-Sagastizábal (Zaragoza, Spain) ESCMID Study Group for Clostridioides difficile (ESGCD) Holger Rohde (Hamburg, Germany) Oana Sandulescu (Bucharest, Romania) Jeroen Schouten (Nijmegen, Netherlands) Valentijn Schweitzer (Utrecht, Netherlands) EW004 08:30 - 10:30 Hall 6 Thomas Tängdén (Uppsala, Sweden) Suzanne Van Asten (Nijmegen, Netherlands) Educational Session Dafna Yahav (Ramat-Gan, Israel) A hard nut to crack in HIV Chairs Yoav Keynan (Winnipeg, Canada) Justyna Kowalska (Warsaw, Poland) Co-organised with: ESCMID Education Subcommittee"
EW004,6,W0013,08:30,"Viral reservoir: what a physician should knowIvailo 08:30 10:30 Alexiev (Sofia, Bulgaria) Educational Session W0014 08:50 Non-suppressible viraemia during HIV-1 therapy: a challenge for cliniciansJose Arribas (Madrid, Spain) Surgical site infections: principles and practice in the era of multidrug"
EW004,6,W0015,09:10,"Chronic vascular and pulmonary disease and HIV: resistance what can we do about it?Susanne Dam Poulsen Chairs Gabriel Birgand (Nantes, France) (Copenhagen, Denmark) Efthymia Giannitsioti (Athens, Greece)"
EW004,6,W0016,09:30,"Opportunistic infections: most common and most deadlyMilena Stevanovikj (Sopje, North Macedonia, Republic of)"
EW004,6,W0001,08:30,"Evolving antimicrobial resistance: do we need a Co-organised with: Euroguidelines in Central and Eastern Europe Network change in surgical antimicrobial prophylaxis?Camilla Group Rodrigues (Mumbai, India)"
EW004,6,W0002,08:50,"Role of decolonisation and bowel decontamination in regions of overwhelming multidrug EW005 - Hall 8 08:30 10:30 resistancePrasannakumar Palanikumar (Vellore, India) Educational Session"
EW004,6,W0003,09:10,"Screening for MDR GNR coloniSation: is there Diagnostic parasitology in the XXIst century: is microscopy “+” still useful? evidence for prophylaxisElisabeth Presterl (Vienna, Austria) Chairs Miriam José Álvarez-Martínez (Barcelona, Spain) Caroline Rönnberg (Stockholm, Sweden)"
EW004,6,W0004,09:30,"Perioperative prophylaxis in special populations in the era of MDRDivyashree Shanthamurthy (Mumbai, India)"
EW004,6,W0017,08:30,"Artificial Intelligence for the diagnosis of parasitic infectionsBobbi Pritt (Rochester, United States) EW002 08:30 - 10:30 Hall 3"
EW002,3,W0018,08:50,"Histopathology of parasitic infectionsRichard Bradbury (Townsville, Australia) Educational Session"
EW002,3,W0019,09:10,"Molecular diagnosis vs. microscopy in the diagnosis Demystifying pharmacokinetics and population pharmacokinetics: a toolkit of parasitic infectionsSitara Sr Ajjampur (Vellore, for non-experts India) Chairs Shampa Das (Liverpool, United Kingdom) W0020 09:30 Paleoparasitology: what diagnostic tools?Ayman El- João Paulo Telles (Sao Paulo, Brazil) Badry (Cairo, Egypt) Co-organised with: ESCMID Study Group for Clinical Parasitology (ESGCP)"
EW002,3,W0005,08:30,"Pharmacokinetics 101: navigating the basics for optimal dosingLinda Aulin (Leiden, Netherlands) EW006 08:30 - 10:30 Hall 9"
EW006,9,W0006,08:50,"The ABCs of population pharmacokinetic Educational Session modelsErwin Dreesen (Leuven, Belgium)"
EW006,9,W0007,09:10,"Looking into the crystal ball: exploring the fabulous Vaccine hesitancy: from issues to solutions through developing world of PK-PD simulationsVincent Aranzana-Climent communication skills (Poitiers, France) Chairs Monia Chemais (Soignies, Belgium)"
EW006,9,W0008,09:30,"Decoding population pharmacokinetic papers: Petar Velikov (Sofia, Bulgaria) interpreting, comparing and discussing resultsIris K. Minichmayr (Vienna, Austria) Co-organised with: ESCMID PK/PD of Anti-Infectives Study Group (EPASG) W0021 08:30 Vaccine hesitancy and its consequencesNoni Macdonald (Halifax, Canada)"
EW006,9,W0022,08:50,Why are patients and parents hesitant about
EW006,9,W0023,09:10,"Using social media to deal with vaccine hesitancyMuge Cevik (St Andrews, United Kingdom)"
EW006,9,W0024,09:30,"Strengthening vaccine confidence in patients and Co-organised with: ESCMID Study Group for Implant-associated Infections parentsTba (ESGIAI), ESCMID Study Group for Mycobacterial Infections (ESGMYC) Co-organised with: ESCMID Vaccine Study Group (EVASG)"
EW006,9,M0035,11:00,"Kimberly Fornace (Singapore, Singapore) Blin Nagavci (Gjakove, Kosovo) Mical Paul (Haifa, Israel) M0036 11:12 Rachel Lowe (Barcelona, Spain) Luigia Scudeller (Pavia, Italy)"
ME007,2,M0025,11:00,"Tommaso Giani (Florence, Italy)"
ME007,2,M0026,11:12,"Diaz Lorena (Santiago, Chile)"
ME007,2,M0037,13:30,"Marjan Wouthuyzen-Bakker (Groningen, Netherlands)"
ME007,2,M0027,11:00,"Julie Toubiana (Paris, France) M0038 13:42 Trisha Peel (Melbourne, Australia)"
ME007,2,M0028,11:12,"Sanjay Patel (Winchester, United Kingdom) Co-organised with: ESCMID PK/PD of Anti-Infectives Study Group (EPASG), ESCMID Study Group for Implant-associated Infections (ESGIAI), ESCMID Study Group for Infectious Diseases of the Brain (ESGIB)"
ME007,2,M0029,11:00,"Kushlani Jayatilleke (Battaramulla, Sri Lanka)"
ME007,2,M0030,11:12,"Walter Zingg (Zurich, Switzerland) M0039 13:30 Laura Evans (Seattle, United States)"
ME007,2,M0040,13:42,"Evangelos Giamarellos-Bourboulis (Athens, Greece) Co-organised with: ESCMID Study Group for Bloodstream Infections,"
ME010,6,M0031,11:00,"Ecaterina Noroc (Chisinau, Moldova, Republic of)"
ME010,6,M0032,11:12,"Fakhriddin Nizamov (Almaty, Kazakhstan) Co-organised with: Euroguidelines in Central and Eastern Europe Network Group, United Nations International Children's Emergency Fund (UNICEF) M0041 13:30 Teymur Noori (Stockholm, Sweden)"
ME010,6,M0042,13:42,"Milosz Parczewski (Szczecin, Poland) Co-organised with: European AIDS Clinical Society (EACS)"
ME010,6,M0033,11:00,"Jaime Esteban (Madrid, Spain)"
ME010,6,M0034,11:12,"Philippe Morand (Paris, France)"
ME010,6,M0043,13:30,"Daria Podlekareva (Copenhagen, Denmark)"
ME010,6,M0044,13:42,"Raquel Duarte (Porto, Portugal) Co-organised with: European Respiratory Society (ERS) M0053 14:45 Luigia Scudeller (Pavia, Italy)"
ME010,6,M0054,14:57,"Blin Nagavci (Gjakove, Kosovo)"
ME010,6,M0045,13:30,"Christina Rolfheim-Bye (Oslo, Norway) for success?"
ME010,6,M0046,13:42,"Marius Gilbert (Brussels, Belgium) Co-organised with: ESCMID Study Group for Public Health Microbiology (ESGPHM) M0055 14:45 Natividad Benito (Barcelona, Spain)"
ME010,6,M0056,14:57,"Tiziana Ascione (Naples, Italy)"
ME010,6,M0047,13:30,"Michelle Yong (Melbourne, Australia)"
ME010,6,M0048,13:42,"Genovefa Papanicolaou (New York, United States)"
ME010,6,M0057,14:45,"Tinja Laaveri (Helsinki, Finland)"
ME010,6,M0058,14:57,"David Tribble (Bethesda, United States)"
ME024,9,M0059,14:45,"Jordi Riera (Barcelona, Spain) Jesús Rodríguez-Baño (Seville, Spain)"
ME024,9,M0060,14:57,"Giacomo Grasselli (Besana In Brianza, Italy) Co-organised with: European Extracorporeal Life Support Organization (EuroELSO) Co-organised with: ESCMID Education Subcommittee"
ME024,9,M0049,14:45,"Diederik Van De Beek (Amsterdam, Netherlands)"
ME024,9,M0050,14:57,"Alexandra Mailles (Paris, France) Co-organised with: ESCMID Study Group for Infectious Diseases of the Brain Co-organised with: ESCMID Education Subcommittee (ESGIB)"
ME024,9,M0051,14:45,"Aycan Gundogdu (Kayseri, Türkiye) W0061 16:15 The essentials of GRAM project: data sources, methodology and challenges in estimating AMR"
ME024,9,M0052,14:57,"Niranjan Nagarajan (Singapore, Singapore) burdenAuthia Gray (Washington, United States) Co-organised with: ESCMID Study Group for Host and Microbiota Interaction"
ME024,9,W0062,16:35,"Networks for surveillance of AMR in animal (ESGHAMI) pathogensLucie Collineau (Lyon, France)"
ME024,9,W0063,16:55,Transition to genomic-based methodology for
ME024,9,W0064,17:15,Implementing and running hospital-wide genomic How to make sense out of guidelines and scientific evidence surveillance of pathogensAlexander Mellmann
ME024,9,W0077,16:15,"The impact of diabetes and host-pathogen interaction and gut microbiomeReinout Van Crevel (Nijmegen,"
EW026,3,W0078,16:35,"Diabetes and invasive fungal infectionsJochem Buil (Nijmegen, Netherlands) New insights into antifungal agents and resistance W0079 16:55 Viral infections and diabetes: is there a Chairs Anuradha Chowdhary (New Delhi, India) connection?Malin Flodström-Tullberg (Stockholm, Jon Salmanton-Garcia (Cologne, Germany) Sweden)"
EW026,3,W0080,17:15,Pathogenesis of diabetic wound infectionTba
EW026,3,W0065,16:15,Emerging resistance in Candida tropicalisSharon
EW026,3,W0066,16:35,"Mechanisms of resistance in Candida glabrataDavid Educational Session Perlin (Nutley, United States)"
EW026,3,W0067,16:55,"Surveillance of resistance in Aspergillus Primer on infection prevention and control: the crucial support by clinical speciesMaiken Cavling Arendrup (Copenhagen, microbiology Denmark) Chairs Nico Tom Mutters (Bonn, Germany) Margreet C. Vos (Rotterdam, Netherlands)"
EW026,3,W0068,17:15,"Environmental surveillance for antifungal resistanceEveline Snelders (Wageningen, Netherlands)"
EW026,3,W0081,16:15,Microbial fundamentals: building blocks of infection prevention and controlLaurence Armand-Lefevre
EW027,5,W0082,16:35,"Optimising environmental sampling in infection control: rational use of the microbiology Going Viral! Phage Therapy Clinical rounds laboratoryJohn E. Coia (Esbjerg, Denmark) Chairs Gregory German (Maple, Canada) W0083 16:55 The crucial role of molecular typing in infection Ameneh Khatami (Sydney, Australia) controlStefanie Kampmeier (Würzburg, Germany)"
EW027,5,W0084,17:15,"How can we link diagnostic and antibiotic stewardship?Constantinos Tsioutis (Nicosia, Cyprus)"
EW027,5,W0069,16:15,"Clinical cases and lessons from the STAMP Co-organised with: ESCMID Study Group for Nosocomial Infections (ESGNI), protocolHolly Sinclair (Nsw, Australia) EUCIC Steering Committee"
EW027,5,W0070,16:35,"Difficult cases treated with phagesGhady Haidar (Pittsburgh, United States)"
EW027,5,W0071,16:55,"Challenging osteoarticular cases treated with phagesTristan Ferry (Lyon, France)"
EW027,5,W0072,17:15,"Treating urinary tract infections with phages: dream or reality?Saima Aslam (San Diego, United States) SY036 - Hall 15 08:30 10:30 Co-organised with: ESCMID Study Group for Non-traditional Antibacterial Therapy (ESGNTA) 2-hour Symposium The quality of antibiotics used in the communities of LMICs"
EW027,5,S0105,08:30,"The quality of antibiotics and their potential impact on patient outcome and AMRPaul Newton (Oxford, Chairs Maddalena Giannella (Bologna, Italy) United Kingdom) Asma Nasim (Karachi, Pakistan)"
EW027,5,S0106,09:00,"Community antibiotic access and use in Sub-Sahara AfricaSamuel Afari-Asiedu (Kintampo, Ghana)"
EW027,5,S0107,09:30,Encountered challenges and reflections on
EW027,5,W0073,16:15,"Challenges in managing gastrointestinal infections in conducting multi-country medicine quality patients with primary immunodeficiencyEffrossyni studiesNoudy Sengxeu (Vientiane Capital, Lao Gkrania-Klotsas (Cambridge, United Kingdom) People's democratic republic)"
EW027,5,W0074,16:35,Respiratory infections in patients receiving CAR-T
EW027,5,S0108,10:00,"Confusion in appearance of common used antibiotics cells or bispecific monoclonal antibodiesGemma in LMICsHeiman Wertheim (Nijmegen, Netherlands) Reynolds (Heidelberg, Australia)"
EW027,5,W0075,16:55,"Mycobacterial infections in patients with HIV infectionGraeme Ayton Meintjes (Observatory, South SY031 - Hall 6 08:30 10:30 Africa)"
EW027,5,W0076,17:15,"Breakthrough fungal infections in haematopoietic 2-hour Symposium cancer and in stem cell transplantationDimitrios P. Kontoyiannis (Houston, Tx, United States) To screen or not to screen prior to transplant? Co-organised with: ESCMID Study Group for Respiratory Viruses (ESGREV), Chairs Laura Alicia Barcan (Buenos Aires, Argentina) International Immunocompromised Host Society (ICHS) Oscar Len (Barcelona, Spain)"
EW029,8,S0085,08:30,"HHV-8 ScreeningAlessandra Mularoni (Palermo, Italy) Educational Session"
EW029,8,S0086,09:00,"TB screening and prevention in endemic Impact of diabetes on infectious diseases: what should we know? regionsRubina Naqvi (Karachi, Pakistan)"
EW029,8,S0087,09:30,"Screening for and prevention of chagas in response to antibiotics in a dual-species intracellular immunocompromised hostsMarcelo Victor Radisic infection modelF. Van Bambeke* (Brussels, Belgium), (Buenos Aires, Argentina) G. Wang"
EW029,8,S0088,10:00,"Screening of lung donors for MolicutesMichael G Ison E0031 In vitro investigations of ceftazidime-avibactam and (Derwood (MD), United States) fosfomycin against carbapenemase-producing Enterobacterales clinical isolatesM. Martens* (Hamburg, Germany), F.M. Docobo-Perez, C. Sauco"
EW029,8,S0097,08:30,"Should we be concerned about infection from virus of the infant population in Sibiu county, contaminated endoscopes?Claire Aumeran RomaniaS. Cristea* (Sibiu, Romania), C. Grigore (Clermont-Ferrand, France)"
EW029,8,S0098,09:00,Prevention of multidrug-resistant infections from contaminated duodenoscopesMargreet C. Vos
EW029,8,S0099,09:30,"Understanding the causes of medical device ePoster Flash Session contamination: it is all biofilm!Roberto Rusconi (Milan, Italy) Pharmacology from bench to the bedside"
EW029,8,S0100,10:00,"Does the European medical Device Regulation bring Chair Alina Karoline Nussbaumer-Pröll (Wien, Österreich, us safer duodenoscopes?Markus Hell (Salzburg, Austria) Austria) Co-organised with: ESCMID Study Group for Biofilms (ESGB), ESCMID Study Group for Nosocomial Infections (ESGNI)"
EW029,8,S0103,09:30,"Integration of HIV and TB care to improve patient outcome in resource-limited settingsAkaki Abutidze Translating metagenomics into clinical practice (Tbilisi, Georgia) Chairs Benjamin Peter Howden (Parkville (Victoria),"
EW029,8,S0104,10:00,"How researchers can influence policy and practice in Australia) HIV/TB careJens D. Lundgren (Copenhagen, Paula Mölling (Örebro, Sweden) Denmark) Co-organised with: ESCMID Study Group for Mycobacterial Infections (ESGMYC), Euroguidelines in Central and Eastern Europe Network Group"
EW029,8,W0126,08:30,"Costs of RSV infection, compared to other (London, United Kingdom), A. Kopec, J. Brown, J. respiratory virusesBarbara Rath (Besançon, France) Hatcher, A. Alcolea-Medina, R. Batra, D. Ward, L.B. Snell, J. Breuer W0127 08:50 Virology and host interactions of RSV"
EW029,8,W0128,09:10,"RSV surveillance in the EU/EEA in the vaccine metagenomic next-generation sequencing in ICU eraEeva Broberg (Solna, Sweden) patients with ongoing antibiotic therapyT. W0129 09:30 RSV fusion inhibitors and monoclonals: current Schroeder* (Nuertingen, Germany), M. Eliwi Alsaffan, status and future developmentsPeter Openshaw A. Dervishi, P. Kawaletz, H. Stäudle (London, United Kingdom)"
EW029,8,W0130,08:30,"Multidrug-resistant infections after trauma in warzoneShehan Hettiaratchy (Hampton, United"
EW029,8,W0131,08:50,"Fungal infections during natural disastersAnuradha lower respiratory tract infections in ICUB. Ran* Chowdhary (New Delhi, India) (Taiyuan, China), Y. Liu, X. Wu, X. Lin, X. Li, Q. Zhan, C. W0132 09:10 Bacteriophage therapy for multidrug-resistant wound Wang, L. Huang, T. Zhai, Y. Cai, Y. Song, Q. Zhang, C. infections in traumaTristan Ferry (Lyon, France) Zhang, J. Hao, L. Jin, Z. Huang"
EW029,8,W0133,09:30,"Infection of burn woundsNur Benzonana (Istanbul,"
EW029,8,S0109,08:30,"Source of infection and pathogensChristian Eckmann 08:30 10:30 (Hannover, Germany) 2-hour Symposium S0110 09:00 Prophylaxis and empiric treatmentGiacomo Grasselli (Besana In Brianza, Italy) Barriers to TB/HIV elimination in low- and high-incidence settings"
EW029,8,S0111,09:30,"Diagnostic criteria and definitionsGraeme Maclaren Chair Daria Podlekareva (Copenhagen, Denmark) (Singapore, Singapore)"
EW029,8,S0112,10:00,"Microbial filmsMarta Hernández-Meneses (Barcelona, Spain)"
EW029,8,S0101,08:30,"HIV and TB epidemic: the storm hasn’t subsided Co-organised with: European Extracorporeal Life Support Organization yetTetiana Koval (Poltava, Ukraine) (EuroELSO)"
EW029,8,S0102,09:00,Approaches for latent and active TB screening in
EW029,8,W0118,08:30,"Update on paediatric UTI Michael Buettcher (Luzern, J.S. Lee, N.S.B. Haidi Fitri, Z.X. Tan, X. Huan, N.M. Switzerland) Thevasagayam, T.K.B. Lee, K. Marimuthu, O.T. Ng"
EW029,8,W0119,08:50,"Diagnosis and treatment of UTI in the era of O0003 Deciphering the pathogenic potentials and antimicrobial resistanceJennifer Kranz (Aachen, epidemiological identities of Staphylococcus Germany) pseudintermedius colonizing companion dogs in Sao PauloI.B. Moses* (Sao Paulo, Brazil), L. Sartori,"
EW029,8,W0120,09:10,"Can UTI be prevented?Chris Harding (Newcastle D.A. Henriques, M.M. Marini, F.M. Lima, R.X. Upon Tyne, United Kingdom) Espinosa, I. Orlandino Da Silva, F.F. Santos, L."
EW029,8,W0121,09:30,"Fungal and parasitic infections of the urinary Gonzaga, A.T. Ribeiro De Vasconcelos, A.C. Gales tractGladys Mbwanji (Mwanza, Tanzania, United"
EW040,3,W0122,08:30,"OPAT: principles, practice and checklistsCharlotte Kingdom), A. Pondit, J. Parkhill, S. Saha, S.M.R. Quintens (Leuven, Belgium) Islam, P.I. Disha, S.A. Nasreen, M.A.K. Azad, T."
EW040,3,W0123,08:50,"COPAT: complex outpatient parenteral antimicrobial Walsh, R. Farzana therapy Ronald Andrew Seaton (Glasgow, United O0007 Unveiling the invisible: antimicrobial resistance Kingdom) genes and pathogenic microbial diversity in sewage"
EW040,3,W0124,09:10,"Antimicrobial stability and other challenges for OPAT of North India's largest industrial hub, A practice? Mark Gilchrist (London, United Kingdom) metagenomic perspectiveI. Singh* (Chandigarh, India), R. Sharma, A. Arora, B. Mohan, N. Taneja"
EW040,3,W0125,09:30,"New OPAT safety and efficacy data to guide practiceMatthew Rawlins (Murdoch, Australia) O0008 Culturomics as a tool for ONE HEALTH approach: Unveiling the role of unknown microorganisms as Co-organised with: ESCMID PK/PD of Anti-Infectives Study Group (EPASG), antibiotic resistance carriers in wastewater Society of Infectious Diseases Pharmacists (SIDP) samplesE. Ouranou* (Heraklion, Greece), A. Psaroulaki, D. Chochlakis, M. Malliarou, K. Tryfinopoulou, A. Ntoula, E. Intze, I. Lagouvardos EW038 08:30 - 11:30 Hall 4"
EW038,4,W0113,08:30,"EUCAST updateSören G. Gatermann (Bochum, M. Quintelas, M. Caniça, R. Rivière, P. Poeta, G. Germany) Igrejas"
EW038,4,W0114,08:50,"Setting clinical breakpoints, assessing evidenceAnouk Edwina Muller (The Hague, Netherlands) SY032 08:30 - 10:30 Hall 7"
SY032,7,W0115,09:10,"Benzylpenicillin susceptibility testing of S. 2-hour Symposium pneumoniae by disk diffusionGunnar Kahlmeter (Tävelsås, Sweden) New insights into Candida pathogenesis"
SY032,7,W0116,09:30,"What to do when there are no breakpointsBarbara Chairs Aleksandra Barac (Belgrade, Serbia) Juliane Holzknecht (Copenhagen, Denmark) Joshua Nosanchuk (Bronx, United States)"
SY032,7,W0117,09:50,"Detection of resistance mechanismsChristian Giske (Stockholm, Sweden) Co-organised with: EUCAST Steering Committee"
SY032,7,S0089,08:30,"Insights into the evolution of Candida under antifungal pressureAttila Gacser (Szeged, Hungary)"
SY032,7,S0090,09:00,How do Candida extracellular vesicles modify
SY032,7,S0091,09:30,"The commensal to pathogen transition: kind to One Health means resistance everywhere killerIlse D. Jacobsen (Jena, Germany) Chairs Alessandra Carattoli (Rome, Italy) S0092 10:00 Fungal-bacterial interactions: who wins?Rebecca Hall Prasannakumar Palanikumar (Vellore, India) (Canterbury, United Kingdom)"
SY032,7,S0093,08:30,"Adaptive evolution and phenotypic heterogeneity of bacterial pathogens during infectionsChristoph Ernst Emerging developments in antifungal pharmacology (Cologne, Germany) Chair Roger Brüggemann (Nijmegen, Netherlands)"
SY032,7,S0094,09:00,"Single-cell imaging and heterogeneity in antimicrobial resistanceStefano Pagliara (Exeter, United Kingdom)"
SY032,7,S0095,09:30,"Single-cell RNAseq and heterogeneity in bacterial E0048 NATURE-US: the natural history of antifungal failure transcriptionAnna Kuchina (Seattle, United States) in invasive candidiasisL. Ostrosky-Zeichner*"
SY032,7,S0096,10:00,"Dissecting the function of individual bacteria in their (Houston, United States), P.G. Pappas, M.H. Miceli, spatial contextKnut Drescher (Basel, Switzerland) A. Spec, C.Z. Grimes, F. Lewis, M. Mammadova, E. McKie, M. Middle, M. Kordalewska, D.S. Perlin, D.P. Kontoyiannis, O.A. Cornely, J. Vazquez, D. Angulo"
