id,session_id,session_type,session_title,session_hall,session_date,session_time_start,session_time_end,session_timezone,session_category,session_description,session_organized_by,session_chairs,session_presentations
1,78,Awards,Excellence Award Lectures,,,,,CET,12. Professional and educational affairs,"The ESCMID Excellence Award shines a spotlight on extraordinary contributions in science, education, or professional affairs within these fields. Recipients will share their career journey and achievements during this session.",,"Jon S. FRIEDLAND, United KingdomChair; Robert Leo SKOV, DenmarkChair","Towards pandemic prevention, moonshot or utopia? [Marion KOOPMANS, Netherlands] || Can global warming bring new infectious diseases? [Arturo CASADEVALL, United States]"
2,509,ePoster Flash Session,On the frontiers of vaccine driven prevention,,,,,CET,01. Viral infection & disease (incl COVID-19),,,"Maria GANCZAK, PolandChair","A Pragmatic Randomized Trial to Evaluate Bivalent RSV Prefusion F Protein–based Vaccine Effectiveness for Preventing RSV Hospitalizations in Older Adults (DAN-RSV): Rationale & Trial Design [Mats LASSEN, Denmark] || A phase 1 study with an innovative approach for an HIV-1 prophylactic vaccine [Pedro GARBES, United States] || Changes in dose interval can impact T cell responses but not antibody levels in individuals receiving the modified vaccinia Ankara Mpox vaccine [Joseph PARSONS, United Kingdom] || Six-month Immunogenicity of mRNA-1345 RSV Vaccine in Adults Aged ≥60 Years [Mihir DESAI, United Kingdom] || Comparative Immune Responses to Homologous and Heterologous SARS-CoV-2 Vaccination Using DNA and Protein Platforms [Sonia PRIETO MARTIN GIL, Spain] || Quantitative correlates of protection against SARS-CoV-2 variants using individual-level reconstructed antibody kinetics [Tim RUSSELL, United Kingdom] || Effectiveness of the 2023-24 seasonal influenza vaccine in UK healthcare workers: results from the SIREN prospective cohort study [Luke MCGEOCH, United Kingdom] || Immunogenicity and safety of second COVID-19 booster and Influenza vaccination coadministration [Isabell WAGENHÄUSER, Germany] || The degree of immunization against the Measles virus of the infant population in Sibiu county, Romania [Stefan-Vasile CRISTEA, Romania]"
3,510,ePoster Flash Session,Pharmacology from bench to the bedside,,,,,CET,"05. New antibacterial agents, PK/PD & Stewardship",,,"Alina Karoline NUSSBAUMER-PRÖLL, AustriaChair","Enterococcus faecalis impairs Escherichia coli response to antibiotics in a dual-species intracellular infection model [Francoise VAN BAMBEKE, Belgium] || In vitro investigations of ceftazidime-avibactam and fosfomycin against carbapenemase-producing Enterobacterales clinical isolates [Miklas MARTENS, Germany] || In vivo activity and PK of the novel siderophore-cephalosporin AR-2126 in a lethal lung infection model in mice infected with a carbapenem-resistant Pseudomonas aeruginosa following subcutaneous administration [Wolfgang WICHA, Austria] || Synergistic Potency Unveiled: β-Lactam and β-Lactamase Inhibitor Combination against Mycobacterium abscessus with Dual Action of β-Lactamase Inhibition and Multi-Target Receptor Inactivation [Eunjeong SHIN, United States] || Pharmacokinetic/pharmacodynamic evaluation of benzoxaborole MRX-5 in mouse pneumonia model with Mycobacterium abscessus infection [Wen WANG, United States] || Pharmacokinetic/pharmacodynamic modelling of immune response and meropenem activity in immunocompetent and neutropenic mouse lung infection models [Raphaël SAPORTA, Sweden] || Implementation of a model-based nomogram for amoxicillin precision dosing in patients suspected of infective endocarditis: preliminary results of the NOMOBA-AMX multicentre study [Paul LE TURNIER, French Guiana] || No time to waste: hospital-wide assessment of IV- vial and line residuals and impact on target attainment. [Dorian VANNESTE, Belgium] || Population pharmacokinetic modelling of colistin in critically-ill patients on sustained low-efficiency dialysis: implications for dose selection [Dominika FUHS, Australia]"
4,511,ePoster Flash Session,It's all in the blood,,,,,CET,04. Diagnostic microbiology,,,"Colin R. MACKENZIE, GermanyChair","Limited delayed incubation of blood culture bottles has limited effect on yield and time-to-positivity [Liselotte HARDY, Belgium] || Unnecessary clinical interventions due to blood culture contamination in a large Canadian hospital network [Clayton Wallace HALL, Canada] || Utility of sigmoidal growth curve when no organisms are seen on Gram stain in positive blood cultures [Declan CRILLY, United Kingdom] || Clinical microbiology laboratory consultancy to optimize blood culture workflow: Analysis of results [Carlotta MAGRI, Italy] || Comparison of Syndromic Sepsis Panel and Standard Blood Culture Results: Contribution to Patient Management [Sevim Gayenur BUYUKBERBER, Türkiye] || Predicting blood culture positivity using machine learning with complete blood and differential counts in a tertiary care hospital of Turkiye [Özlem TÜRKMEN RECEN, Türkiye] || Performance of direct pathogen and β-lactamase detection workflow using MALDI-TOF MS from positive blood culture specimens [Kosuke KOSAI, Japan] || Waiting for follow-up blood cultures is not always necessary for diagnosis of central line-associated bloodstream infections [Lieke VAN BALEN, Netherlands] || Economic and health gains associated with the adoption of the 2-hour phenotypic antimicrobial susceptibility testing in patients with bloodstream infection in Europe [Cidália PINA-VAZ, Portugal]"
5,512,ePoster Flash Session,Emerging developments in antifungal pharmacology,,,,,CET,06. Fungal infection & disease,,,"Roger BRÜGGEMANN, NetherlandsChair","NATURE-US: the natural history of antifungal failure in invasive candidiasis [Luis OSTROSKY-ZEICHNER, United States] || The antidepressant vortioxetine enhances resistance toward multiple azoles [Silvia RIZZO, Italy] || Enhancing Isavuconazole Pharmacokinetics: A Comprehensive Population (PPK) Model from Three Phase 3 Trials and Covariate Exploration [Amit DESAI, United States] || Identification of efflux inhibitors for Candida albicans through a drug repurposing strategy [Débora MARQUES, Portugal] || Clinical outcomes of micafungin 100 mg vs. 150 mg daily for the treatment of Candida auris fungemia [Jysheng HOU, United States] || Resolution of clinical signs in adults with invasive candidiasis and/or candidaemia treated with rezafungin or caspofungin: ReSTORE and STRIVE trial pooled analysis [George R THOMPSON, United States] || Ibrexafungerp is effective in treatment of patients with candidiasis, including candidaemia, caused by Candida auris: a multicentre, open-label study (CARES) [Marisa H. MICELI, United States] || High-dose isavuconazole therapy is well-tolerated and significantly improves survival in a fruit fly model of invasive mucormycosis [Sebastian WURSTER, United States] || Pharmacokinetics, pharmacodynamics, safety, and efficacy of innovative dosing schedules of liposomal amphotericin B for treatment of experimental invasive pulmonary aspergillosis in persistently neutropenic rabbits [Ruta PETRAITIENE, United States]"
6,513,ePoster Flash Session,Infection control and prevention around the World,,,,,CET,"08. Healthcare-associated infections, infection prevention & control",,,"Divyashree SHANTHAMURTHY, IndiaChair","WHO Global Survey on Infection Prevention and Control Minimum Requirements: Laying the Foundation for 2030 Global Targets [Peter BISCHOFF, Switzerland] || Healthcare-associated infections in african intensive care units: A muliticentre prospective cohort study [Bamba GAYE, Senegal] || Epidemiology of community-acquired versus hospital-acquired sepsis in acute hospitals in Ireland - 2016-2022. [Emer LIDDY, Ireland] || Epidemiology of Central Line-Associated Bloodstream Infections (CLABSIs) in a Network of Ten Hospitals across Greece: A 30-Month Surveillance Study – GRIPP-SNF Network [Ioannis KOPSIDAS, Greece] || Characterisation of plasmids disseminating antibiotic resistance in Klebsiella pneumoniae isolates from Pretoria, South Africa [Theevasha GOVENDER, South Africa] || Transmission dynamics of carbapenemase-producing bacteria between hospital and household settings in Benin [Kevin Mael Patrick Zinsou SINTONDJI, Benin] || Evaluating the impact of a rapid screening test for carbapenem-resistant organisms in Brazilian intensive care units. [Matias SALOMÃO, Brazil] || Genomic Insights into the Rapid Rise of Pseudomonas aeruginosa ST463: A High-Risk Clone's Adaptive Strategy in China [Xu DONG, China] || Nanopore long-read only genome assembly for public health surveillance of Enterobacterales bloodstream infections and plasmid epidemiology in England: A pilot study [Dorottya NAGY, United Kingdom]"
7,514,ePoster Flash Session,"Advances in the diagnosis and treatment of skin, bone, and joint infections",,,,,CET,02. Bacterial infection & disease,,,"Norma JUNG, GermanyChair","Potential benefits of PET-CT in the management of bone and joint infections in infective endocarditis: a retrospective analysis from the Mayo Clinic [Francesco PETRI, Italy] || Synovial fluid microRNA biomarkers enable accurate diagnosis of periprosthetic joint infection [Bernhard J.h. FRANK, Austria] || Diagnostic accuracy of 16S rDNA PCR, multiplex PCR and metagenomic Next-Generation Sequencing in periprosthetic joint infections: a systematic review and meta-analysis [Flaminia OLEARO, Germany] || Comparison of microbiology, management and outcome between patients with native and with post-surgical vertebral osteomyelitis: a 7-year retrospective study [Giacomo FRANCESCHI, Italy] || Cefiderocol real-life use in bone and joint infection: a retrospective French multicenter study [Ava DIARRA, France] || Real-Life Experience with Dalbavancin as Suppressive Antibiotic Treatment in orthopaedic implant-related infections. [Rosa ESCUDERO-SÁNCHEZ, Spain] || Short or Long Antibiotic Regimes in Orthopaedics: the SOLARIO multicentre randomised controlled trial [Maria DUDAREVA, United Kingdom] || Clinical and Antibacterial Diversity of Staphylococcal Phenotypes in Skin and Soft Tissue Infections: A Resource-Limited Country Perspective. [Faiza ZEESHAN, Pakistan] || Discrepancy between clinical-radiological diagnosis and surgical confirmation in 62 patients undergoing fasciotomy for suspected necrotizing fasciitis: a 11-year retrospective study. [Federico ROMANI, Italy]"
8,515,ePoster Flash Session,Rising threats: antimicrobial resistance in STIs,,,,,CET,03. Bacterial susceptibility & resistance,,,"Marcos RUST, AustriaChair","Important rise of antibiotic resistance of Mycoplasma genitalium, a sexually transmitted pathogen, in a French University hospital [Florence DOUCET POPULAIRE, France] || Molecular characterization of antimicrobial resistance and genotyping of Mycoplasma genitalium positive samples of the Lisbon area, Portugal [Margarida BARROS, Portugal] || Antimicrobial Resistance in Mycoplasma genitalium: Surveillance and Management in São Paulo, Brazil [Victor PASSARELLI, Brazil] || Impact of genotypic substitutions on treatment failure for Mycoplasma genitalium infection [Nicholas Brian BANA, Italy] || Macrolide-resistant Mycoplasma genitalium: an emerging threat to public health? [Jorge CISCAR SORIANO, Spain] || Comparison of carbapenem MIC in wild-type, MDR and XDR Neisseria gonorrhoeae isolates [Julie BROUSSEAU, France] || Unsettling surge in antimicrobial resistance patterns of Neisseria gonorrhoeae - A study from national reference centre in India. [Devanshi SHARMA, India] || Surveillance of Neisseria gonorrhoeae antimicrobial resistance rate and treatment regimes in Singapore from 2014 to 2024 [Marcella GIOVANNI, Singapore] || Molecular surveillance results of N. gonorrhoeae in Korea [Kyoung Ho ROH, Korea, Republic Of]"
9,516,ePoster Flash Session,Infections in hemato-oncological hosts: from bacterial to viral,,,,,CET,10. Immune compromise & transplant ID,,,"Genovefa PAPANICOLAOU, United StatesChair","Vancomycin-resistant Enterococcus faecium bloodstream infection in patients with hematological malignancy and stem cell transplant: a case-control study [Jollee FUNG, Canada] || Bacteremia secondary to urinary tract infection in oncology patients: risk factors and impact of multidrug-resistant Gram-negative bacilli. [Ignacio GRAFIA, Spain] || Rectal carriage of multidrug-resistant organisms and subsequent bloodstream infections in hematologic patients undergoing hematopoietic stem cell transplantation or chimeric antigen receptor T-cell therapy [Charalampos CHARALAMPIDIS, Greece] || The RUSTIC Study: Respiratory Virus Infection in a Contemporary Longitudinal Cohort of Patients with Haematological Malignancy [Benjamin TEH, Australia] || Viral respiratory infections in patients with hematological diseases over 10 years: epidemiology and impact on disease severity [Patrizia BONO, Italy] || Safety and tolerability of SYN-004 in allogeneic hematopoietic cell transplant (HCT) recipients receiving meropenem (MER) or piperacillin/tazobactam (P/T) [Erik DUBBERKE, United States] || Standardized gastrointestinal cytomegalovirus (CMV) tissue quantitative-nucleic-acid testing (QNAT) compared to immunohistochemistry in allogeneic hematopoietic cell transplant (HCT) recipients [Sara DE ARAGÓN DE LA CRUZ, Switzerland] || Real-life experience with maribavir for the treatment of cytomegalovirus infection in hematological patients. [Jorge BOAN PEREZ, Spain]"
10,517,ePoster Flash Session,Syndromic testing is still coming of age,,,,,CET,04. Diagnostic microbiology,,,"Tommaso GIANI, ItalyChair","Bacterial infections of the central nervous system: addressing the diagnostic gap in non- community-acquired meningitis [Giulia MENCHINELLI, Italy] || Epidemiological surveillance of central nervous system infections through a rapid syndromic testing platform [Melisa REY, Spain] || Impact of Syndromic Panel Implementation on Meningitis/Encephalitis Diagnosis, Antimicrobial Use, Costs, and Hospital Stay in a Regional Australian Hospital [Shradha SUBEDI, Australia] || Performance evaluation of the NxTAG® GPP Panel for the detection of gastrointestinal pathogens by comparison with current routine methods in Nantes University Hospital. [Sophie GIBAUD, France] || Correct discrimination of Monkeypox virus clades by fast syndromic testing [Sven REISTER, Germany] || Managing a Mycoplasma pneumoniae Outbreak: Impact of Syndromic Panels on Antimicrobial Prescriptions in Pediatric Emergencies [Luis BRUSCA, Spain] || Performance of BIOFIRE® FILMARRAY® Pneumonia plus in general population, solid organ transplant recipients and patients with hematologic malignancies – Interim analysis [Riccardo RICCARDI, Italy] || Impact of the molecular rapid diagnostic panel testing in adjustment of antimicrobial therapy in febrile neutropenic patients with bacteremia [Sorawit CHANTHARASUT, Thailand] || BacteREVEAL: Analytical performance and contribution of BioFire® BCID2 and Vitek® REVEALTM in intensive care patients with Gram-negative bloodstream infections [Claire ROGER, France]"
