2025-03-18 14:48:23,128 - INFO - Successfully connected to database
2025-03-18 14:48:23,129 - INFO - Temporary table created successfully
2025-03-18 14:48:23,161 - WARNING - Record ID 1: SessionID mismatch. DB: EA, Extracted: session-id-78
2025-03-18 14:48:23,168 - WARNING - Record ID 2: SessionID mismatch. DB: EF003, Extracted: session-id-509
2025-03-18 14:48:23,175 - WARNING - Record ID 3: SessionID mismatch. DB: EF004, Extracted: session-id-510
2025-03-18 14:48:23,181 - WARNING - Record ID 4: SessionID mismatch. DB: EF005, Extracted: session-id-511
2025-03-18 14:48:23,187 - WARNING - Record ID 5: SessionID mismatch. DB: EF006, Extracted: session-id-512
2025-03-18 14:48:23,194 - WARNING - Record ID 6: SessionID mismatch. DB: EF014, Extracted: session-id-513
2025-03-18 14:48:23,199 - WARNING - Record ID 7: SessionID mismatch. DB: EF015, Extracted: session-id-514
2025-03-18 14:48:23,205 - WARNING - Record ID 8: SessionID mismatch. DB: EF016, Extracted: session-id-515
2025-03-18 14:48:23,210 - WARNING - Record ID 9: SessionID mismatch. DB: EF021, Extracted: session-id-516
2025-03-18 14:48:23,214 - WARNING - Record ID 10: SessionID mismatch. DB: EF022, Extracted: session-id-517
2025-03-18 14:48:23,219 - WARNING - Record ID 11: SessionID mismatch. DB: EF023, Extracted: session-id-518
2025-03-18 14:48:23,224 - WARNING - Record ID 12: SessionID mismatch. DB: EF024, Extracted: session-id-519
2025-03-18 14:48:23,228 - WARNING - Record ID 13: SessionID mismatch. DB: EF029, Extracted: session-id-520
2025-03-18 14:48:23,233 - WARNING - Record ID 14: SessionID mismatch. DB: EF030, Extracted: session-id-521
2025-03-18 14:48:23,238 - WARNING - Record ID 15: SessionID mismatch. DB: EF031, Extracted: session-id-522
2025-03-18 14:48:23,243 - WARNING - Record ID 16: SessionID mismatch. DB: EF033, Extracted: session-id-523
2025-03-18 14:48:23,247 - WARNING - Record ID 17: SessionID mismatch. DB: EF034, Extracted: session-id-524
2025-03-18 14:48:23,251 - WARNING - Record ID 18: SessionID mismatch. DB: EF035, Extracted: session-id-525
2025-03-18 14:48:23,255 - WARNING - Record ID 19: SessionID mismatch. DB: EF036, Extracted: session-id-526
2025-03-18 14:48:23,260 - WARNING - Record ID 20: SessionID mismatch. DB: EF039, Extracted: session-id-527
2025-03-18 14:48:23,264 - WARNING - Record ID 21: SessionID mismatch. DB: EF040, Extracted: session-id-528
2025-03-18 14:48:23,273 - WARNING - Record ID 22: SessionID mismatch. DB: EF041, Extracted: session-id-529
2025-03-18 14:48:23,277 - WARNING - Record ID 23: SessionID mismatch. DB: EF042, Extracted: session-id-530
2025-03-18 14:48:23,282 - WARNING - Record ID 24: SessionID mismatch. DB: EF049, Extracted: session-id-531
2025-03-18 14:48:23,286 - WARNING - Record ID 25: SessionID mismatch. DB: EF050, Extracted: session-id-532
2025-03-18 14:48:23,291 - WARNING - Record ID 26: SessionID mismatch. DB: EF051, Extracted: session-id-533
2025-03-18 14:48:23,295 - WARNING - Record ID 27: SessionID mismatch. DB: EF054, Extracted: session-id-534
2025-03-18 14:48:23,299 - WARNING - Record ID 28: SessionID mismatch. DB: EF055, Extracted: session-id-535
2025-03-18 14:48:23,303 - WARNING - Record ID 29: SessionID mismatch. DB: EF059, Extracted: session-id-536
2025-03-18 14:48:23,308 - WARNING - Record ID 30: SessionID mismatch. DB: EF060, Extracted: session-id-537
2025-03-18 14:48:23,312 - WARNING - Record ID 31: SessionID mismatch. DB: EF061, Extracted: session-id-538
2025-03-18 14:48:23,317 - WARNING - Record ID 32: SessionID mismatch. DB: EF065, Extracted: session-id-539
2025-03-18 14:48:23,321 - WARNING - Record ID 33: SessionID mismatch. DB: EF066, Extracted: session-id-540
