Date,Session ID,Time,Hall,Session Type,Title,Chairs,Presentation ID,Presentation Time,Presentation Title,Presenter
11 April 2025,SP1,08:30 - 10:30,0,Special Session,Antimicrobial Stewardship in Different Scenarios,Murat Akova; Türkiye); Andre Fuchs; Germany); Maddalena Giannella; Italy); Angela Huttner; Switzerland); Benedikt Huttner; Switzerland); Jose Ramon Pano-Pardo; Spain); Galadriel Pellejero-Sagastizábal; Spain); Holger Rohde; Germany); Oana Sandulescu; Romania); Jeroen Schouten; Netherlands); Valentijn Schweitzer; Netherlands); Thomas Tängdén; Sweden); Suzanne Van Asten; Netherlands); Dafna Yahav; Israel),P1,08:30,- 10:30,"Hall 0
Special Session
Antimicrobial Stewardship in Different Scenarios 
Chairs Murat Akova (Ankara, Türkiye)"
11 April 2025,EW001,08:30 - 10:30,2,Educational Session,Surgical site infections: principles and practice in the era of multidrug,Gabriel Birgand; France); Efthymia Giannitsioti; Greece),W0002,08:50,,"Role of decolonisation and bowel decontamination in 
regions of overwhelming multidrug 
resistance Prasannakumar Palanikumar (Vellore, 
India)"
11 April 2025,EW001,08:30 - 10:30,2,Educational Session,Surgical site infections: principles and practice in the era of multidrug,Gabriel Birgand; France); Efthymia Giannitsioti; Greece),W0003,09:10,Screening for MDR GNR coloniSation:,"is there 
evidence for prophylaxis Elisabeth Presterl (Vienna, 
Austria)"
11 April 2025,EW001,08:30 - 10:30,2,Educational Session,Surgical site infections: principles and practice in the era of multidrug,Gabriel Birgand; France); Efthymia Giannitsioti; Greece),W0004,09:30,,"Perioperative prophylaxis in special populations in 
the era of MDR Divyashree Shanthamurthy (Mumbai, 
India)"
11 April 2025,EW002,08:30 - 10:30,3,Educational Session,Demystifying pharmacokinetics and population pharmacokinetics: a toolkit,Shampa Das; United Kingdom); João Paulo Telles; Brazil),W0005,08:30,Pharmacokinetics 101:,"navigating the basics for 
optimal dosing Linda Aulin (Leiden, Netherlands)"
11 April 2025,EW002,08:30 - 10:30,3,Educational Session,Demystifying pharmacokinetics and population pharmacokinetics: a toolkit,Shampa Das; United Kingdom); João Paulo Telles; Brazil),W0006,08:50,,"The ABCs of population pharmacokinetic 
models Erwin Dreesen (Leuven, Belgium)"
11 April 2025,EW002,08:30 - 10:30,3,Educational Session,Demystifying pharmacokinetics and population pharmacokinetics: a toolkit,Shampa Das; United Kingdom); João Paulo Telles; Brazil),W0007,09:10,Looking into the crystal ball:,"exploring the fabulous 
world of PK-PD simulations Vincent Aranzana-Climent 
(Poitiers, France)"
11 April 2025,EW003,08:30 - 10:30,5,Educational Session,,Kerrie Davies; United Kingdom); Yann Dumont; France),W003,08:30,- 10:30,"Hall 5
Educational SessionChallenges in identification and relevance of slow-growing pathogens
Chairs Kerrie Davies (Leeds, United Kingdom)"
11 April 2025,EW003,08:30 - 10:30,5,Educational Session,,Kerrie Davies; United Kingdom); Yann Dumont; France),W0009,08:30,,"Sampling and culturing anaerobes Hugo Cruz (Porto, 
Portugal)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W004,08:30,- 10:30,"Hall 6
Educational Session
A hard nut to crack in HIV
Chairs Yoav Keynan (Winnipeg, Canada)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W0013,08:30,Viral reservoir:,"what a physician should know Ivailo 
Alexiev (Sofia, Bulgaria)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W0014,08:50,Non-suppressible viraemia during HIV-1 therapy:,"a 
challenge for clinicians Jose Arribas (Madrid, Spain)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W0016,09:30,Opportunistic infections:,"most common and most 
deadly Milena Stevanovikj (Sopje, North Macedonia, 
Republic of)"
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0017,08:30,,"Artificial Intelligence for the diagnosis of parasitic 
infections Bobbi Pritt (Rochester, United States)"
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0018,08:50,,"Histopathology of parasitic infections Richard 
Bradbury (Townsville, Australia)"
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0019,09:10,,"Molecular diagnosis vs. microscopy in the diagnosis 
of parasitic infections Sitara Sr Ajjampur (Vellore, 
India)"
