id,sessionId,parentSessionId,title,location,date,timeRange,timezone,sessionType,category,chairName,chairCountry,presenterName,presenterCountry
382,EA,NULL,"Excellence Award Lectures","Hall 1 |","16:15 - 17:30CETAwards",,CET,Awards,"12. Professional and educational affairs","Jon S. FRIEDLAND","United Kingdom",NULL,NULL
386,EF003,NULL,"On the frontiers of vaccine driven prevention","Arena 1 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)","Maria GANCZAK",Poland,NULL,NULL
397,EF004,NULL,"Pharmacology from bench to the bedside","Arena 3 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Alina Karoline NUSSBAUMER-PRÖLL",Austria,NULL,NULL
408,EF005,NULL,"It's all in the blood","Arena 2 |","09:30 - 10:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Colin R. MACKENZIE",Germany,NULL,NULL
419,EF006,NULL,"Emerging developments in antifungal pharmacology","Arena 4 |","09:30 - 10:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","06. Fungal infection & disease","Roger BRÜGGEMANN",Netherlands,NULL,NULL
430,EF014,NULL,"Infection control and prevention around the World","Arena 2 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","08. Healthcare-associated infections, infection prevention & control","Divyashree SHANTHAMURTHY",India,NULL,NULL
441,EF015,NULL,"Advances in the diagnosis and treatment of skin, bone, and joint infections","Arena 3 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Norma JUNG",Germany,NULL,NULL
452,EF016,NULL,"Rising threats: antimicrobial resistance in STIs","Arena 4 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Marcos RUST",Austria,NULL,NULL
463,EF021,NULL,"Infections in hemato-oncological hosts: from bacterial to viral","Arena 1 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","10. Immune compromise & transplant ID","Genovefa PAPANICOLAOU","United States",NULL,NULL
473,EF022,NULL,"Syndromic testing is still coming of age","Arena 2 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Tommaso GIANI",Italy,NULL,NULL
484,EF023,NULL,"Effective microbiology for the management of sepsis","Arena 3 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Maurizio SANGUINETTI",Italy,NULL,NULL
495,EF024,NULL,"A never-ending evolution of antimicrobial resistance","Arena 4 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Antonio OLIVER",Spain,NULL,NULL
505,EF029,NULL,"Vaccination uptake-challenges and opportunities","Arena 2 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","11. Public health & vaccines","Joanne M. LANGLEY",Canada,NULL,NULL
515,EF030,NULL,"Viruses crossing the blood-brain barrier","Arena 3 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)",NULL,NULL,NULL,NULL
525,EF031,NULL,"AMS around the world: know your data!","Arena 4 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Eoghan DE BARRA",Ireland,NULL,NULL
536,EF033,NULL,"Current treatment options for invasive fungal infections","Arena 2 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","06. Fungal infection & disease","Andreas H. GROLL",Germany,NULL,NULL
546,EF034,NULL,"Surgical site infections: epidemiology, risk factors, and prevention strategies","Arena 4 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","08. Healthcare-associated infections, infection prevention & control","Trisha PEEL",Australia,NULL,NULL
554,EF035,NULL,"Genomics in pathogen surveillance","Arena 1 |","17:15 - 18:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Vítor BORGES",Portugal,NULL,NULL
