id,sessionId,parentSessionId,title,location,date,timeRange,timezone,sessionType,category,chairName,chairCountry,presenterName,presenterCountry
382,EA,NULL,"Excellence Award Lectures","Hall 1 |","16:15 - 17:30CETAwards",,CET,Awards,"12. Professional and educational affairs","Jon S. FRIEDLAND","United Kingdom",NULL,NULL
383,EA,382,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jon S. FRIEDLAND","United KingdomChair"
384,EA,382,"Towards pandemic prevention, moonshot or utopia?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marion KOOPMANS",Netherlands
385,EA,382,"Can global warming bring new infectious diseases?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Arturo CASADEVALL","United States"
386,EF003,NULL,"On the frontiers of vaccine driven prevention","Arena 1 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)","Maria GANCZAK",Poland,NULL,NULL
387,EF003,386,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Maria GANCZAK",PolandChair
388,EF003,386,"A Pragmatic Randomized Trial to Evaluate Bivalent RSV Prefusion F Protein–based Vaccine Effectiveness for Preventing RSV Hospitalizations in Older Adults (DAN-RSV): Rationale & Trial Design",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mats LASSEN",Denmark
389,EF003,386,"A phase 1 study with an innovative approach for an HIV-1 prophylactic vaccine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pedro GARBES","United States"
390,EF003,386,"Changes in dose interval can impact T cell responses but not antibody levels in individuals receiving the modified vaccinia Ankara Mpox vaccine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Joseph PARSONS","United Kingdom"
391,EF003,386,"Six-month Immunogenicity of mRNA-1345 RSV Vaccine in Adults Aged ≥60 Years",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mihir DESAI","United Kingdom"
392,EF003,386,"Comparative Immune Responses to Homologous and Heterologous SARS-CoV-2 Vaccination Using DNA and Protein Platforms",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sonia PRIETO MARTIN GIL",Spain
393,EF003,386,"Quantitative correlates of protection against SARS-CoV-2 variants using individual-level reconstructed antibody kinetics",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tim RUSSELL","United Kingdom"
394,EF003,386,"Effectiveness of the 2023-24 seasonal influenza vaccine in UK healthcare workers: results from the SIREN prospective cohort study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Luke MCGEOCH","United Kingdom"
395,EF003,386,"Immunogenicity and safety of second COVID-19 booster and Influenza vaccination coadministration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Isabell WAGENHÄUSER",Germany
396,EF003,386,"The degree of immunization against the Measles virus of the infant population in Sibiu county, Romania",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stefan-Vasile CRISTEA",Romania
397,EF004,NULL,"Pharmacology from bench to the bedside","Arena 3 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Alina Karoline NUSSBAUMER-PRÖLL",Austria,NULL,NULL
398,EF004,397,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Alina Karoline NUSSBAUMER-PRÖLL",AustriaChair
399,EF004,397,"Enterococcus faecalis impairs Escherichia coli response to antibiotics in a dual-species intracellular infection model",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Francoise VAN BAMBEKE",Belgium
400,EF004,397,"In vitro investigations of ceftazidime-avibactam and fosfomycin against carbapenemase-producing Enterobacterales clinical isolates",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Miklas MARTENS",Germany
401,EF004,397,"In vivo activity and PK of the novel siderophore-cephalosporin AR-2126 in a lethal lung infection model in mice infected with a carbapenem-resistant Pseudomonas aeruginosa following subcutaneous administration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Wolfgang WICHA",Austria
402,EF004,397,"Synergistic Potency Unveiled: β-Lactam and β-Lactamase Inhibitor Combination against Mycobacterium abscessus with Dual Action of β-Lactamase Inhibition and Multi-Target Receptor Inactivation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Eunjeong SHIN","United States"
