file_id,presid,url,time,title,presenter
266,1439201,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1439201&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM2,1:00 PM – 1:35 PM US PT,Introduction and Principles of Diagnosis Excellence & Diagnostic Stewardship,"Workshop Speaker: – University of Maryland School of Medicine Daniel J. Morgan, MD, MS"
266,1436678,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1436678&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM2,1:35 PM – 2:00 PM US PT,What Clinicians Should Know About the Lab and What Laboratory Professionals Should Know About Diagnostic Stewardship,"Workshop Speaker: – Lewis Katz School of Medicine at Temple University Kaede Ota Sullivan, MD, MBA, FRCPC, FAAP, D(ABMM)"
266,1436679,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1436679&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM2,2:00 PM – 2:40 PM US PT,Interactive Panel: Moderated by Mary Hayden,"Workshop Moderator: – Rush University Medical Center Mary K. Hayden, MD Workshop Speaker: – Billings Clinic T. Neil Ku, MD (he/him/his) Workshop Speaker: – Public Health Ontario Bradley J. Langford, PharmD BCIDP MPH (he/him/his) Workshop Speaker: – Mayo Clinic Priya Sampathkumar, MD"
266,1436680,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1436680&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM2,2:55 PM – 3:20 PM US PT,Common First Targets for Diagnostic Stewardship,"Workshop Speaker: – University of Utah Medical School Valerie Vaughn, MD, MSc"
266,1436683,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1436683&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM2,3:20 PM – 3:45 PM US PT,"Stewarding Advanced Diagnostics: Multiplex Panels, Metagenomics and Beyond","Workshop Speaker: – University of Colorado Kevin Messacar, MD, PHD"
266,1436684,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1436684&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM2,3:45 PM – 4:10 PM US PT,Core Elements for Diagnostic Excellence,"Workshop Speaker: – Centers for Disease Control and Prevention Arjun Srinivasan, MD"
266,1436685,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1436685&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM2,4:10 PM – 4:50 PM US PT,Interactive Panel: Moderated by Dan Diekema,"Workshop Moderator: – MaineHealth Daniel Diekema, MD, MS, D(ABMM) (he/him/his) Workshop Speaker: – Billings Clinic T. Neil Ku, MD (he/him/his) Workshop Speaker: – Public Health Ontario Bradley J. Langford, PharmD BCIDP MPH (he/him/his) Workshop Speaker: – Mayo Clinic Priya Sampathkumar, MD"
268,1408110,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1408110&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM1,8:00 AM – 8:10 AM US PT,Introductory Remarks,N/A
268,1408109,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1408109&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM1,8:10 AM – 8:45 AM US PT,Sexually Transmitted Infections,"Workshop Speaker: – University of California, Davis Health Archana K. Reddy, MD (she/her/hers)"
268,1408108,http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=/ajaxcalls/PresentationInfo.asp?PresentationID=1408108&returl=YWpheGNhbGxzL3Nlc3Npb25pbmZvLmFzcD9QcmVzZW50YXRpb25JRD0xNDAyMDM1,8:45 AM – 9:20 AM US PT,Mycobacteria Including TB,"Workshop Speaker: – Heartland National TB Center/ University of Texas Health Science Center at Tyler Lisa Armitige, MD, PhD"
