url,tracknames,session_type,title,date,time,location,additional_info,presentation_time,presentation_title,presentation_speaker,presentation_affiliation
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=265,,,,,,,,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=266,Adult ID; Epi & Infection Control; Pediatric ID; Trainee,Premeeting Workshop,PW03 - Diagnostic Stewardship - Building Hospital Programs ($),"Tuesday, October 15, 2024",1:00 PM – 5:00 PM US PT,Location: 502 A,All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 4 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=267,Event,Event,The Science of Alzheimer's and Infectious Diseases Symposium,"Tuesday, October 15, 2024",8:00 AM – 5:00 PM US PT,Location: JW Marriott Gold 1,All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=268,Adult ID; Epi & Infection Control; Global ID; Investigative ID; HIV-STD-TB; Trainee; Transplant,Premeeting Workshop,PW01 - Vincent T. Andriole ID Board Review Course ($),"Tuesday, October 15, 2024",8:00 AM – 5:30 PM US PT,Location: 515 A,All relevant financial relationships have been mitigated. CME Credits: Maximum of 7.5 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 7.5 hours of MOC CreditCNE Credits: Maximum of 7.5 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=269,Adult ID; Epi & Infection Control; Pediatric ID,Premeeting Workshop,PW02 - Best Practices in Antimicrobial Stewardship Programs ($),"Tuesday, October 15, 2024",8:00 AM – 12:00 PM US PT,Location: 502 A,All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 4 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=270,BugHub Stage,BugHub Stage,Opportunities for Advancing SHEA Research Priorities,"Wednesday, October 16, 2024",1:00 PM – 1:25 PM US PT,Location: BugHub Stage,All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=271,Adult ID; Global ID; Investigative ID; Pediatric ID; Trainee; Transplant,Symposium,1 - â??Gutâ?? to Be Important: The Microbiome and Its Role in Neutropenic Patients Undergoing Chemotherapy and Stem Cell Therapy,"Wednesday, October 16, 2024",1:30 PM – 3:15 PM US PT,Location: 515 A,All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=272,Epi & Infection Control; Investigative ID,Symposium,2 - Acting on Poop: Translating Wastewater Surveillance Data Into Public Health and Clinical Action,"Wednesday, October 16, 2024",1:30 PM – 3:15 PM US PT,Location: Petree C,All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=273,Adult ID; Epi & Infection Control; Global ID; Investigative ID; Pediatric ID; Trainee,Symposium,"3 - Climate Change, Parasitic and Fungal Diseases","Wednesday, October 16, 2024",1:30 PM – 3:15 PM US PT,Location: Concourse 151,All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
http://local.dev.meetings.com/IDWEEK/_viewSessionData.cfm?thisID=274,Adult ID; Epi & Infection Control; Global ID; Investigative ID; HIV-STD-TB; Pediatric ID; Trainee; Transplant; COVID-19,Symposium,4 - Infectious Disease Stewardship of Sepsis: Challenges and Opportunities,"Wednesday, October 16, 2024",1:30 PM – 3:15 PM US PT,Location: 515 B,All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,,,,
