Day,Local Time,Location,Category,Type of Session,Number/Code,Session Title,Presentation Title,Authors/Presenters,MAF Coverage,Priority Level ,Status,Comments,tracknames,presenters,additional_info,disclosures
Tuesday,1:00 PM - 5:00 PM,502 A,,,,PW03 - Diagnostic Stewardship - Building Hospital Programs ($),,,,,,,"['Adult ID', 'Epi & Infection Control', 'Pediatric ID', 'Trainee']","[{'title': 'Daniel Morgan, MD, MS', 'affiliation': 'Professor Epidemiology & Public Health University of Maryland School of Medicine Baltimore, MD, United States'}, {'title': 'Daniel Diekema, MD, MS, D(ABMM) (he/him/his)', 'affiliation': 'Director, Division of Infectious Diseases MaineHealth'}, {'title': 'Mary Hayden, MD', 'affiliation': 'Professor of Medicine and Pathology, ID Division Chief, Director of Clinical Microbiology Rush University Medical Center Chicago, IL, United States'}, {}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 4 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Daniel Diekema, MD, MS, D(ABMM):  No relevant disclosure to display', 'Mary K. Hayden, MD:  No financial relationships to disclose']"
Tuesday,8:00 AM - 5:00 PM,JW Marriott Gold 1,,,,The Science of Alzheimer's and Infectious Diseases Symposium,,,,,,,['Event'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Tuesday,8:00 AM - 5:30 PM,515 A,,,,PW01 - Vincent T. Andriole ID Board Review Course ($),,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Trainee', 'Transplant']","[{'title': 'Andrea Zimmer, MD, FACP, FIDSA', 'affiliation': 'Associate Professor Internal Medicine University of Nebraska Medical Center Omaha, NE, United States'}, {'title': 'Stuart Cohen, MD', 'affiliation': 'Medical Director of Hospital Epidemiology; Division Chief, Infectious Diseases University of California, Davis Sacramento, CA, United States'}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 7.5 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 7.5 hours of MOC CreditCNE Credits: Maximum of 7.5 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Andrea J. Zimmer, MD, FACP, FIDSA:  No relevant disclosure to display', 'Stuart H. Cohen, MD:  No financial relationships to disclose']"
Tuesday,8:00 AM - 12:00 PM,502 A,,,,PW02 - Best Practices in Antimicrobial Stewardship Programs ($),,,,,,,"['Adult ID', 'Epi & Infection Control', 'Pediatric ID']","[{'title': 'Chloe Bryson-Cahn, MD (she/her/hers)', 'affiliation': 'Medical Director, Antimicrobial Stewardship Harborview Medical Center Allergy and Infectious Diseases University of Washington School of Medicine Seattle, WA, United States'}, {'title': 'Sophie Katz, MD, MPH (she/her/hers)', 'affiliation': 'Assistant Professor, Pediatric Infectious Diseases Vanderbilt University Medical Center Nashville, TN, United States'}, {'title': 'Erin McCreary, PharmD (she/her/hers)', 'affiliation': 'Director of Infectious Diseases Improvement and Clinical Research Innovation University of Pittsburgh Medical Center Pittsburgh, PA, United States'}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 4 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Chloe Bryson-Cahn, MD:  No financial relationships to disclose']"
Wednesday,1:00 PM - 1:25 PM,BugHub Stage,,,,Opportunities for Advancing SHEA Research Priorities,,,,,,,['BugHub Stage'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,1:30 PM - 3:15 PM,515 A,,,,1 - 'Gut' to Be Important: The Microbiome and Its Role in Neutropenic Patients Undergoing Chemotherapy and Stem Cell Therapy,,,,,,,"['Adult ID', 'Global ID', 'Investigative ID', 'Pediatric ID', 'Trainee', 'Transplant']","[{'title': 'Murat Akova, Prof. (he/him/his)', 'affiliation': 'Professor Hacettepe University Ankara, Ankara, Turkey'}, {'title': 'Maricar Malinis, MD (she/her/hers)', 'affiliation': 'Associate Professor of Medicine Section of Infectious Diseases Vanderbilt University Medical Center, TN, United States'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Murat Akova, Prof.:  No financial relationships to disclose', 'Maricar F. Malinis, MD:  No financial relationships to disclose']"
Wednesday,1:30 PM - 3:15 PM,Petree C,,,,2 - Acting on Poop: Translating Wastewater Surveillance Data Into Public Health and Clinical Action,,,,,,,"['Epi & Infection Control', 'Investigative ID']","[{'title': 'Susy Hota, MD MSc (she/her/hers)', 'affiliation': 'ID Division Head, IPAC Medical Director University Health Network Toronto, ON, Canada'}, {'title': 'Duc Vugia, MD, MPH (he/him/his)', 'affiliation': 'Infectious Diseases Branch Chief California Department of Public Health Richmond, CA, United States'}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Susy S. Hota, MD MSc:  No relevant disclosure to display', 'Duc J. Vugia, MD, MPH:  No financial relationships to disclose']"
Wednesday,1:30 PM - 3:15 PM,Concourse 151,,,,"3 - Climate Change, Parasitic and Fungal Diseases",,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'Pediatric ID', 'Trainee']","[{'title': 'Mahalia Dessruisseaux', 'affiliation': ''}, {'title': 'Luiz Bermudez, MD', 'affiliation': 'Professor Oregon State University Corvallis, OR, United States'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Mahalia Dessruisseaux:  No financial relationships to disclose', 'Luiz Bermudez, MD:  No financial relationships to disclose']"
Wednesday,1:30 PM - 3:15 PM,515 B,,,,4 - Infectious Disease Stewardship of Sepsis: Challenges and Opportunities,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee', 'Transplant', 'COVID-19']","[{'title': 'Senu Apewokin, MD', 'affiliation': 'Assoc Prof University of Cincinnati Mason, Ohio, United States'}, {'title': 'Chanu Rhee, MD, MPH (he/him/his)', 'affiliation': ""Associate Professor of Medicine Department of Medicine / Infectious Disease Brigham and Women's Hospital / Harvard Medical School Boston, MA, United States""}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Senu Apewokin, MD:  No relevant disclosure to display']"
Wednesday,1:30 PM - 3:15 PM,Concourse 152,,,,5 - Late Breaker Symposium 1,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee', 'Transplant', 'COVID-19']","[{'title': 'Speaker TBD', 'affiliation': 'TBD TBD'}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Speaker TBD:  No financial relationships to disclose']"
