co_authors_22_title,co_authors_16_title,presenting_authors_1_name,co_authors_21_title,co_authors_29_title,co_authors_37_affiliation,date,co_authors_11_affiliation,co_authors_39_title,co_authors_9_name,co_authors_28_affiliation,co_authors_17_title,co_authors_17_affiliation,trackname,co_authors_18_affiliation,co_authors_5_name,poster_id,co_authors_38_affiliation,presenting_authors_1_affiliation,co_authors_37_title,co_authors_32_name,co_authors_33_affiliation,co_authors_32_title,other_authors,other_authors_1_title,co_authors_11_name,co_authors_29_name,co_authors_6_title,co_authors_6_affiliation,co_authors_7_name,other_authors_1_affiliation,co_authors_24_title,co_authors_20_title,co_authors_9_title,co_authors_13_affiliation,co_authors_16_affiliation,co_authors_15_affiliation,co_authors_27_name,co_authors_34_name,co_authors_24_name,co_authors_27_affiliation,co_authors_31_title,co_authors_23_affiliation,co_authors_25_name,co_authors_39_affiliation,co_authors_33_title,co_authors_2_affiliation,co_authors_12_name,co_authors_5_title,co_authors_3_name,co_authors_26_affiliation,co_authors_39_name,co_authors_15_name,co_authors_38_name,co_authors_23_title,co_authors_35_name,co_authors_20_affiliation,error,co_authors_7_title,co_authors_4_name,co_authors_27_title,co_authors_4_title,co_authors_17_name,co_authors_19_title,co_authors_6_name,co_authors_5_affiliation,co_authors_7_affiliation,co_authors_24_affiliation,co_authors_30_name,co_authors_31_affiliation,co_authors_14_title,co_authors_19_name,co_authors_1_name,other_authors_1_name,co_authors_13_title,co_authors_34_affiliation,co_authors_30_title,co_authors_21_affiliation,co_authors_1_affiliation,co_authors_3_title,co_authors_21_name,url,co_authors_36_name,co_authors_1_title,co_authors_26_title,co_authors_36_affiliation,co_authors_19_affiliation,co_authors_8_title,time,co_authors_22_affiliation,co_authors_37_name,co_authors_15_title,co_authors_10_affiliation,presenting_authors_1_title,co_authors_2_name,co_authors_10_name,co_authors_29_affiliation,co_authors_36_title,co_authors_10_title,co_authors_8_name,co_authors,co_authors_12_title,co_authors_23_name,presenting_authors,co_authors_30_affiliation,location,co_authors_25_title,co_authors_18_name,co_authors_8_affiliation,title,co_authors_34_title,co_authors_14_name,co_authors_9_affiliation,sessionname,co_authors_16_name,co_authors_2_title,co_authors_33_name,co_authors_26_name,co_authors_18_title,co_authors_38_title,co_authors_14_affiliation,co_authors_28_title,co_authors_28_name,co_authors_35_affiliation,co_authors_25_affiliation,co_authors_31_name,co_authors_4_affiliation,co_authors_12_affiliation,co_authors_11_title,co_authors_22_name,co_authors_3_affiliation,co_authors_20_name,co_authors_13_name,co_authors_32_affiliation,co_authors_35_title
,,"Leah Molloy, PharmD (she/her/hers)",,,,"Thursday, October 17, 2024",,,,,,,I3. Adolescent Vaccines,,"Jenniffer A. Meza Jimenez, BS, LD/N, CLC",695525,,,,,,,,,,,"PRIME Education, LLCFort Lauderdale, Florida, United States",,"Bonnie Douglas, PhD (she/her/hers)",,,,,,,,,,,,,,,,,,,"Project CoordinatorPRIME EducationWest Palm Beach, Florida, United States","Chris Napolitan, n/a",,,,,,,,,"Associate Director, Scientific AffairsPRIME Education, LLCPhiladelphia, Pennsylvania, United States","Jeffrey D. Carter, PhD",,"Director, Population Health and ResearchPRIME Education, LLCFort Lauderdale, Florida, United States",,,"Chelsie Anderson Chadha, PhD",,,,,,,,"Sharon G. Humiston, MD, MPH",,,,,,,"Managing DirectorPRIME EducationBrooklyn, New York, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1,,"Associate Director for ResearchImmunize.orgRochester, New York, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Director, Scientific AffairsPRIME EducationBrighton, Michigan, United States","Laura Simone, PhD",,,,,,,,,,,Location: Halls JK,,,,(P-1) Impacts of a Quality Improvement Initiative to Build Confidence in Human Papillomavirus (HPV) Vaccination Among American Indian Communities,,,,Poster Session:,,"Executive Director, Scientific AffairsPRIME Education, LLCFort Lauderdale, Florida, United States",,,,,,,,,,,,,,,,,,,
,,"Juan Carlos Orengo, MD, MPH, PhD",,,,"Thursday, October 17, 2024",,,,,,,I3. Adolescent Vaccines,,"Kunal Saxena, PhD",695077,,,,,,,,,,,"Caja Costarricense de Seguro SocialSan Jose, San Jose, Costa Rica",,"Cintia I. Parellada, MD, PhD (she/her/hers)",,,,,,,,,,,,,,,,,,,"Merck&Co.,Inc.Rahway, New Jersey, United States","Andrew Pavelyev, n/a",,,,,,,,,"Executive Director Outcomes ResearchMSD BrazilSão Paulo, Sao Paulo, Brazil","Vincent Daniels, PhD",,"Merck&Co.,Inc.Rahway, New Jersey, United States",,,"Wilberth Herrera-Solano, MD",,,,,,,,"Ana Marisol Rendon, MD, MS",,,,,,,"Merck&Co.,Inc.Rahway, New Jersey, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=2,,"MSD PanamaPanama, Panama, Panama",,,,,12:15 PM – 1:30 PM US PT,,,,,"PhDMSD (IA) LLCGuaynabo, Puerto Rico","Bruna Cristina Lima, n/a",,,,,,,,,,,Location: Halls JK,,,,(P-2) Public Health and Economic Impact of Implementing Gender-Neutral Vaccination with the 4-Valent Human Papillomavirus Vaccine in Costa Rica,,,,Poster Session:,,"MSD BrazilSão, Sao Paulo, Brazil",,,,,,,,,,,,,,,,,,,
,,"Juan Carlos Orengo, MD, MPH, PhD",,,,"Thursday, October 17, 2024",,,,,,,I3. Adolescent Vaccines,,"Andrew Pavelyev, n/a",695044,,,,,,,,,,,"Executive Director Outcomes ResearchMSD BrazilSão Paulo, Sao Paulo, Brazil",,,,,,,,,,,,,,,,,,,,,"Merck&Co.,Inc.Rahway, New Jersey, United States","Vincent Daniels, PhD",,,,,,,,,,"Kunal Saxena, PhD",,"Merck&Co.,Inc.Rahway, New Jersey, United States",,,"Cintia I. Parellada, MD, PhD (she/her/hers)",,,,,,,,"Ana Marisol Rendon, MD, MS",,,,,,,"Merck&Co.,Inc.Rahway, New Jersey, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=3,,"MSD PanamaPanama, Panama, Panama",,,,,12:15 PM – 1:30 PM US PT,,,,,"PhDMSD (IA) LLCGuaynabo, Puerto Rico","Bruna Cristina Lima, n/a",,,,,,,,,,,Location: Halls JK,,,,(P-3) Assessing the Public Health Impact of Transitioning from a 4-valent to a 9-valent HPV Vaccination Program in Panama,,,,Poster Session:,,"MSD BrazilSão, Sao Paulo, Brazil",,,,,,,,,,,,,,,,,,,
,,"Cintia I. Parellada, MD, PhD (she/her/hers)",,,,"Thursday, October 17, 2024",,,,,,,I3. Adolescent Vaccines,,"Rodrigo Gonçalves Queijo, BSc",695026,,,,,,,,,,,"EpidemiologistHospital Sirio LibanêsSão Paulo, Sao Paulo, Brazil",,,,,,,,,,,,,,,,,,,,,"Precision DataSão Paulo, Sao Paulo, Brazil","Tulio Tadeu Rocha sarmento, MSc",,,,,,,,,,"Julio Oliveira Barbour, BSc, MD",,"Precision DataSão, Sao Paulo, Brazil",,,"Ana Luiza Bierrenbach, MD, PhD",,,,,,,,"Juan Carlos Orengo, MD, MPH, PhD",,,,,,,"Precision DataSão pa, Sao Paulo, Brazil",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=4,,"PhDMSD (IA) LLCGuaynabo, Puerto Rico",,,,,12:15 PM – 1:30 PM US PT,,,,,"Executive Director Outcomes ResearchMSD BrazilSão Paulo, Sao Paulo, Brazil","Bruna Cristina Lima, n/a",,,,,,,,,,,Location: Halls JK,,,,(P-4) Real-world Impact of Quadrivalent Human papillomavuris vaccination on Genital Warts and High-grade Cervical Intraepitelial Neoplasia Hospitalization rates in Brazil,,,,Poster Session:,,"MSD BrazilSão, Sao Paulo, Brazil",,,,,,,,,,,,,,,,,,,
,,"Ponesai Nyika, MBChB, MPH",,,,"Thursday, October 17, 2024",,,,,,,I3. Adolescent Vaccines,,"Shannon K. Stokley, DrPH",695482,,,,,,,,,,,"Chief, Assessment BranchCenters for Disease Control and PreventionAtlanta, GA, United States",,,,,,,,,,,,,,,,,,,,,"Deputy Director for Science ImplementationImmunization Services Division, National Center for Immunization and Respiratory Disease, CDCAtlanta, Georgia, United States","Laurie Elam-Evans, PhD",,,,,,,,,,"Sandy Pingali, MPH/MS",,"Centers for Disease Control and PreventionAtlanta, Georgia, United States",,,"James A. Singleton, PhD",,,,,,,,"Sarah Meyer, MD, MPH",,,,,,,"Health ScientistCDCAtlanta, GA, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=5,,"Chief Medical OfficerCenters for Disease Control and PreventionAtlanta, Georgia, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Epidemic Intelligence Service (EIS) OfficerCenters for Disease Control and Prevention (CDC)Atlanta, Georgia, United States","DAVID NMN YANKEY, PhD, MPH, MS",,,,,,,,,,,Location: Halls JK,,,,"(P-5) Human Papillomavirus Vaccination Coverage Among Girls and Boys in the United States: A Birth Year Cohort Analysis of the National Immunization Survey-Teen, 2016–2022.",,,,Poster Session:,,"Mathematical StatisticianCDC/NCIRD/ISD/SEBATLANTA, Georgia, United States",,,,,,,,,,,,,,,,,,,
,,"Yo Murata, MD (he/him/his)",,,,"Thursday, October 17, 2024",,,,,,,I3. Adolescent Vaccines,,,695397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuya Saito, MD, PhD",,,,,,,,,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=6,,"Tokyo Metropolitan Tama-hokubu Medical CenterHigashimurayama, Tokyo, Japan",,,,,12:15 PM – 1:30 PM US PT,,,,,"FellowTokyo Metropolitan Children's Medical CenterFuchu, Tokyo, Japan","Toshimasa Obonai, MD",,,,,,,,,,,Location: Halls JK,,,,(P-6) Effect of a school-based tutorial about the HPV vaccine for female middle school students on the HPV vaccination rate in Japan,,,,Poster Session:,,"Tokyo Metropolitan Tama-hokubu Medical CenterHigashimurayama, Tokyo, Japan",,,,,,,,,,,,,,,,,,,
,,"Achiraya Pakngao, MD (she/her/hers)",,,,"Thursday, October 17, 2024",,,,,,,I1. Adult Vaccines,,"Porpon Rotjanapan, MD",695428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dr.Faculty of Medicine Ramathibodi Hospital, Mahidol UniversityBangkok, Krung Thep, Thailand","Kobporn Boonnak, Ph.D.",,,,,,,,,,"Tanitta Suangtamai, MS",,"Mrs.Faculty of Medicine Ramathibodi Hospital, Mahidol UniversityBangkok, Krung Thep, Thailand",,,,,,,,,,,"Sureerat Suwatcharangoon, MD",,,,,,,"Faculty of Medicine Siriraj Hospital, Mahidol UniversityBangkok, Krung Thep, Thailand",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=7,,"Faculty of Medicine Ramathibodi Hospital, Mahidol UniversityBangkok, Krung Thep, Thailand",,,,,12:15 PM – 1:30 PM US PT,,,,,"residentFaculty of Medicine Ramathibodi Hospital, Mahidol UniversityBangkok, Krung Thep, Thailand","Pintip Ngamjanyaporn, MD",,,,,,,,,,,Location: Halls JK,,,,(P-7) A study of influenza vaccination response in disabled stroke patients,,,,Poster Session:,,"Faculty of Medicine Ramathibodi Hospital, Mahidol UniversityBangkok, Krung Thep, Thailand",,,,,,,,,,,,,,,,,,,
,,"Amanda C. Miles, MPH (she/her/hers)",,,,"Thursday, October 17, 2024",,,"Alejandro D. Cane, MD, PhD",,,,I1. Adult Vaccines,,"Cassandra Hall-Murray, PharmD",694903,,,,,,,,,,,"Pfizer Inc.New York, New York, United States",,"Jeffrey T. Vietri, PhD",,,,"North America Vaccines Medical Scientific Affairs LeadPfizerCollegeville, Pennsylvania, United States",,,,,,,,,,,,,,,"Senior Director, Vaccines Medical Development and Scientific AffairsPfizer, Inc.Collegeville, Pennsylvania, United States","Lindsay Grant, PhD, MPH",,,,,,,,,"Director, HEORPfizer, Inc.Collegeville, Pennsylvania, United States","Christian Theilacker, MD, DTM&H",,"Pfizer Inc.New York, New York, United States",,,"Qi Yan, PhD, MS",,,,,,,,"Sarah J. Willis, PhD, MPH",,,,,,,"Pfizer Inc.New York, New York, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=8,,"Director, Vaccines RWE ScientistPfizerWakefield, Massachusetts, United States",,,,"PfizerNew York City, New York, United States",12:15 PM – 1:30 PM US PT,,,,,"Senior Manager, RWE Scientist, VaccinesPfizerNew York, New York, United States","Erica Chilson, PharmD","Bradford D. Gessner, M.D., M.P.H.",,,"Vice President Global Medical Lead for Respiratory VaccinesPfizer Biopharma GroupCollegeville, Pennsylvania, United States","Tamuno Alfred, PhD",,,,,,Location: Halls JK,,,,(P-8) Assessment of 13-valent pneumococcal conjugate vaccine effectiveness among people living with HIV in the United States,,,,Poster Session:,,"Senior Director, US Medical AffairsPfizer500 Arcola Road, Pennsylvania, United States",,,,,,,,,,,,,,,,,,,
,,"Amber L. Linkenheld-Struk, BA, MLT, CIC (she/her/hers)",,,,"Thursday, October 17, 2024",,,"Jerome A. Leis, MD MSc FRCPC",,,,I1. Adult Vaccines,,"Jennifer Do, BScPhm, RPh, ACPR",695469,,,,,,,,,,,"PharmacistSunnybrook Health Sciences CentreToronto, Ontario, Canada",,"Danette Beechinor, BSc Pharm, Pharm D, CHPE, CD",,,,"Medical Director, Infection Prevention and ControlSunnybrook Health Sciences CentreToronto, Ontario, Canada",,,,,,,,,,,,,,,"PharmacistSunnybrook Health Science CentreToronto, Ontario, Canada","Helene Carating, BScPhm",,,,,,,,,"Co-DirectorSunnybrook Health Sciences CentrteToronto, Ontario, Canada","Romina Marchesano, BScPhm, MSc",,"Sunnybrook Health Sciences CentreToronto, Ontario, Canada",,,"Sherri Sullivan, BScPharm",,,,,,,,"Victoria R. Williams, MPH CIC (she/her/hers)",,,,,,,"Sunnybrook Health Sciences CentreToronto, Ontario, Canada",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=9,,"Infection Prevention and Control EpidemiologistSunnybrook Health Sciences CentreToronto, Ontario, Canada",,,,"Staff Physician and Assistant ProfessorSunnybrook Health Sciences Centre, University of TorontoToronto, Ontario, Canada",12:15 PM – 1:30 PM US PT,,,,,"Infection PreventionistSunnybrook Health Sciences CentreToronto, Ontario, Canada","Karen Chan, BSc, CHIMA",,,,,"William K. Silverstein, MD, MSc, FRCPC",,,,,,Location: Halls JK,,,,(P-9) Standardized Model for SARS-CoV-2 and Influenza Vaccination of Hospitalized Patients: A Before-After Quality Improvement Study,,,,Poster Session:,,"ConsultantSunnybrook Health Sciences CentreToronto, Ontario, Canada",,,,,,,,,,,,,,,,,,,
,,"Kevin Bakker, PhD",,,,"Thursday, October 17, 2024",,,,,,,I1. Adult Vaccines,,"Gaelle Farge, n/a",695190,,,,,,,,,,,"MSD, Paris, FranceParis, Ile-de-France, France",,"Robert Nachbar, PhD",,,,,,,,,,,,,,,,,,,"MSD, Paris, FranceParis, Ile-de-France, France","Oluwaseun Sharomi, MSc, PhD",,,,,,,,,"Wolfram Research, Inc.Champaign, Illinois, United States","Manon Breau Brunel, n/a",,"MSD, Paris, FranceParis, Ile-de-France, France",,,"Jeremy Carette, n/a",,,,,,,,"Rachel Oidtman, PhD",,,,,,,"Principal ScientistMerck & Co., Inc.Lansdale, Pennsylvania, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=10,,"Associate Principal ScientistMerck & Co., Inc.Lansdale, Pennsylvania, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Principal ScientistMerck & Co., Inc., Rahway, NJ, USAPhiladelphia, Pennsylvania, United States","Giulio Meleleo, PhD",,,,,,,,,,,Location: Halls JK,,,,(P-11) Assessing the Epidemiological Impact of an Age-Based Pneumococcal Vaccine Recommendation in France,,,,Poster Session:,,"Wolfram Research, Inc.Champaign, Illinois, United States",,,,,,,,,,,,,,,,,,,
