presenting_author_details,presenting_author_name,co_authors,poster_id,url,error
"Director, Scientific Affairs;PRIME Education;Brighton, Michigan, United States","Leah Molloy, PharmD (she/her/hers)","[{'name': 'Sharon G. Humiston, MD, MPH', 'details': 'Associate Director for Research;Immunize.org;Rochester, New York, United States'}, {'name': 'Leah Molloy, PharmD (she/her/hers)', 'details': 'Director, Scientific Affairs;PRIME Education;Brighton, Michigan, United States'}, {'name': 'Laura Simone, PhD', 'details': 'Executive Director, Scientific Affairs;PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Chris Napolitan, n/a', 'details': 'Managing Director;PRIME Education;Brooklyn, New York, United States'}, {'name': 'Jeffrey D. Carter, PhD', 'details': 'Director, Population Health and Research;PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Jenniffer A. Meza Jimenez, BS, LD/N, CLC', 'details': 'Project Coordinator;PRIME Education;West Palm Beach, Florida, United States'}, {'name': 'Chelsie Anderson Chadha, PhD', 'details': 'PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Bonnie Douglas, PhD (she/her/hers)', 'details': 'Associate Director, Scientific Affairs;PRIME Education, LLC;Philadelphia, Pennsylvania, United States'}, {'name': 'Laura Simone, PhD', 'details': 'Executive Director, Scientific Affairs;PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Chris Napolitan, n/a', 'details': 'Managing Director;PRIME Education;Brooklyn, New York, United States'}, {'name': 'Jeffrey D. Carter, PhD', 'details': 'Director, Population Health and Research;PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Jenniffer A. Meza Jimenez, BS, LD/N, CLC', 'details': 'Project Coordinator;PRIME Education;West Palm Beach, Florida, United States'}, {'name': 'Chelsie Anderson Chadha, PhD', 'details': 'PRIME Education, LLC;Fort Lauderdale, Florida, United States'}, {'name': 'Bonnie Douglas, PhD (she/her/hers)', 'details': 'Associate Director, Scientific Affairs;PRIME Education, LLC;Philadelphia, Pennsylvania, United States'}]",695525,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=1,
"PhD;MSD (IA) LLC;Guaynabo, Puerto Rico","Juan Carlos Orengo, MD, MPH, PhD","[{'name': 'Ana Marisol Rendon, MD, MS', 'details': 'MSD Panama;Panama, Panama, Panama'}, {'name': 'Bruna Cristina Lima, n/a', 'details': 'MSD Brazil;São, Sao Paulo, Brazil'}, {'name': 'Andrew Pavelyev, n/a', 'details': 'Merck&Co.,Inc.;Rahway, New Jersey, United States'}, {'name': 'Vincent Daniels, PhD', 'details': 'Merck&Co.,Inc.;Rahway, New Jersey, United States'}, {'name': 'Kunal Saxena, PhD', 'details': 'Merck&Co.,Inc.;Rahway, New Jersey, United States'}, {'name': 'Wilberth Herrera-Solano, MD', 'details': 'Caja Costarricense de Seguro Social;San Jose, San Jose, Costa Rica'}, {'name': 'Cintia I. Parellada, MD, PhD (she/her/hers)', 'details': 'Executive Director Outcomes Research;MSD Brazil;São Paulo, Sao Paulo, Brazil'}]",695077,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=2,
"PhD;MSD (IA) LLC;Guaynabo, Puerto Rico","Juan Carlos Orengo, MD, MPH, PhD","[{'name': 'Ana Marisol Rendon, MD, MS', 'details': 'MSD Panama;Panama, Panama, Panama'}, {'name': 'Bruna Cristina Lima, n/a', 'details': 'MSD Brazil;São, Sao Paulo, Brazil'}, {'name': 'Vincent Daniels, PhD', 'details': 'Merck&Co.,Inc.;Rahway, New Jersey, United States'}, {'name': 'Kunal Saxena, PhD', 'details': 'Merck&Co.,Inc.;Rahway, New Jersey, United States'}, {'name': 'Andrew Pavelyev, n/a', 'details': 'Merck&Co.,Inc.;Rahway, New Jersey, United States'}, {'name': 'Cintia I. Parellada, MD, PhD (she/her/hers)', 'details': 'Executive Director Outcomes Research;MSD Brazil;São Paulo, Sao Paulo, Brazil'}]",695044,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=3,
"Executive Director Outcomes Research;MSD Brazil;São Paulo, Sao Paulo, Brazil","Cintia I. Parellada, MD, PhD (she/her/hers)","[{'name': 'Bruna Cristina Lima, n/a', 'details': 'MSD Brazil;São, Sao Paulo, Brazil'}, {'name': 'Cintia I. Parellada, MD, PhD (she/her/hers)', 'details': 'Executive Director Outcomes Research;MSD Brazil;São Paulo, Sao Paulo, Brazil'}, {'name': 'Tulio Tadeu Rocha sarmento, MSc', 'details': 'Precision Data;São pa, Sao Paulo, Brazil'}, {'name': 'Julio Oliveira Barbour, BSc, MD', 'details': 'Precision Data;São, Sao Paulo, Brazil'}, {'name': 'Rodrigo Gonçalves Queijo, BSc', 'details': 'Precision Data;São Paulo, Sao Paulo, Brazil'}, {'name': 'Ana Luiza Bierrenbach, MD, PhD', 'details': 'Epidemiologist;Hospital Sirio Libanês;São Paulo, Sao Paulo, Brazil'}, {'name': 'Tulio Tadeu Rocha sarmento, MSc', 'details': 'Precision Data;São pa, Sao Paulo, Brazil'}, {'name': 'Julio Oliveira Barbour, BSc, MD', 'details': 'Precision Data;São, Sao Paulo, Brazil'}, {'name': 'Rodrigo Gonçalves Queijo, BSc', 'details': 'Precision Data;São Paulo, Sao Paulo, Brazil'}, {'name': 'Ana Luiza Bierrenbach, MD, PhD', 'details': 'Epidemiologist;Hospital Sirio Libanês;São Paulo, Sao Paulo, Brazil'}]",695026,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=4,
"Epidemic Intelligence Service (EIS) Officer;Centers for Disease Control and Prevention (CDC);Atlanta, Georgia, United States","Ponesai Nyika, MBChB, MPH","[{'name': 'Sarah Meyer, MD, MPH', 'details': 'Chief Medical Officer;Centers for Disease Control and Prevention;Atlanta, Georgia, United States'}, {'name': 'DAVID NMN YANKEY, PhD, MPH, MS', 'details': 'Mathematical Statistician;CDC/NCIRD/ISD/SEB;ATLANTA, Georgia, United States'}, {'name': 'Laurie Elam-Evans, PhD', 'details': 'Health Scientist;CDC;Atlanta, GA, United States'}, {'name': 'Sandy Pingali, MPH/MS', 'details': 'Centers for Disease Control and Prevention;Atlanta, Georgia, United States'}, {'name': 'Shannon K. Stokley, DrPH', 'details': 'Deputy Director for Science Implementation;Immunization Services Division, National Center for Immunization and Respiratory Disease, CDC;Atlanta, Georgia, United States'}, {'name': 'James A. Singleton, PhD', 'details': 'Chief, Assessment Branch;Centers for Disease Control and Prevention;Atlanta, GA, United States'}, {'name': 'Ponesai Nyika, MBChB, MPH', 'details': 'Epidemic Intelligence Service (EIS) Officer;Centers for Disease Control and Prevention (CDC);Atlanta, Georgia, United States'}]",695482,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=5,
"Fellow;Tokyo Metropolitan Children's Medical Center;Fuchu, Tokyo, Japan","Yo Murata, MD (he/him/his)","[{'name': 'Yuya Saito, MD, PhD', 'details': 'Tokyo Metropolitan Tama-hokubu Medical Center;Higashimurayama, Tokyo, Japan'}, {'name': 'Toshimasa Obonai, MD', 'details': 'Tokyo Metropolitan Tama-hokubu Medical Center;Higashimurayama, Tokyo, Japan'}]",695397,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=6,
"resident;Faculty of Medicine Ramathibodi Hospital, Mahidol University;Bangkok, Krung Thep, Thailand","Achiraya Pakngao, MD (she/her/hers)","[{'name': 'Sureerat Suwatcharangoon, MD', 'details': 'Faculty of Medicine Ramathibodi Hospital, Mahidol University;Bangkok, Krung Thep, Thailand'}, {'name': 'Pintip Ngamjanyaporn, MD', 'details': 'Faculty of Medicine Ramathibodi Hospital, Mahidol University;Bangkok, Krung Thep, Thailand'}, {'name': 'Kobporn Boonnak, Ph.D.', 'details': 'Faculty of Medicine Siriraj Hospital, Mahidol University;Bangkok, Krung Thep, Thailand'}, {'name': 'Tanitta Suangtamai, MS', 'details': 'Mrs.;Faculty of Medicine Ramathibodi Hospital, Mahidol University;Bangkok, Krung Thep, Thailand'}, {'name': 'Porpon Rotjanapan, MD', 'details': 'Dr.;Faculty of Medicine Ramathibodi Hospital, Mahidol University;Bangkok, Krung Thep, Thailand'}]",695428,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=7,
"Senior Manager, RWE Scientist, Vaccines;Pfizer;New York, New York, United States","Amanda C. Miles, MPH (she/her/hers)","[{'name': 'Sarah J. Willis, PhD, MPH', 'details': 'Director, Vaccines RWE Scientist;Pfizer;Wakefield, Massachusetts, United States'}, {'name': 'Erica Chilson, PharmD', 'details': 'Senior Director, US Medical Affairs;Pfizer;500 Arcola Road, Pennsylvania, United States'}, {'name': 'Lindsay Grant, PhD, MPH', 'details': 'Pfizer Inc.;New York, New York, United States'}, {'name': 'Christian Theilacker, MD, DTM&H', 'details': 'Pfizer Inc.;New York, New York, United States'}, {'name': 'Cassandra Hall-Murray, PharmD', 'details': 'Senior Director, Vaccines Medical Development and Scientific Affairs;Pfizer, Inc.;Collegeville, Pennsylvania, United States'}, {'name': 'Qi Yan, PhD, MS', 'details': 'Pfizer Inc.;New York, New York, United States'}, {'name': 'Jeffrey T. Vietri, PhD', 'details': 'Director, HEOR;Pfizer, Inc.;Collegeville, Pennsylvania, United States'}, {'name': 'Tamuno Alfred, PhD', 'details': 'Pfizer;New York City, New York, United States'}, {'name': 'Alejandro D. Cane, MD, PhD', 'details': 'North America Vaccines Medical Scientific Affairs Lead;Pfizer;Collegeville, Pennsylvania, United States'}, {'name': 'Bradford D. Gessner, M.D., M.P.H.', 'details': 'Vice President Global Medical Lead for Respiratory Vaccines;Pfizer Biopharma Group;Collegeville, Pennsylvania, United States'}]",694903,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=8,
"Infection Preventionist;Sunnybrook Health Sciences Centre;Toronto, Ontario, Canada","Amber L. Linkenheld-Struk, BA, MLT, CIC (she/her/hers)","[{'name': 'Victoria R. Williams, MPH CIC (she/her/hers)', 'details': 'Infection Prevention and Control Epidemiologist;Sunnybrook Health Sciences Centre;Toronto, Ontario, Canada'}, {'name': 'Karen Chan, BSc, CHIMA', 'details': 'Consultant;Sunnybrook Health Sciences Centre;Toronto, Ontario, Canada'}, {'name': 'Helene Carating, BScPhm', 'details': 'Sunnybrook Health Sciences Centre;Toronto, Ontario, Canada'}, {'name': 'Romina Marchesano, BScPhm, MSc', 'details': 'Sunnybrook Health Sciences Centre;Toronto, Ontario, Canada'}, {'name': 'Jennifer Do, BScPhm, RPh, ACPR', 'details': 'Pharmacist;Sunnybrook Health Science Centre;Toronto, Ontario, Canada'}, {'name': 'Sherri Sullivan, BScPharm', 'details': 'Pharmacist;Sunnybrook Health Sciences Centre;Toronto, Ontario, Canada'}, {'name': 'Danette Beechinor, BSc Pharm, Pharm D, CHPE, CD', 'details': 'Co-Director;Sunnybrook Health Sciences Centrte;Toronto, Ontario, Canada'}, {'name': 'William K. Silverstein, MD, MSc, FRCPC', 'details': 'Staff Physician and Assistant Professor;Sunnybrook Health Sciences Centre, University of Toronto;Toronto, Ontario, Canada'}, {'name': 'Jerome A. Leis, MD MSc FRCPC', 'details': 'Medical Director, Infection Prevention and Control;Sunnybrook Health Sciences Centre;Toronto, Ontario, Canada'}]",695469,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=9,
"Principal Scientist;Merck & Co., Inc., Rahway, NJ, USA;Philadelphia, Pennsylvania, United States","Kevin Bakker, PhD","[{'name': 'Rachel Oidtman, PhD', 'details': 'Associate Principal Scientist;Merck & Co., Inc.;Lansdale, Pennsylvania, United States'}, {'name': 'Giulio Meleleo, PhD', 'details': 'Wolfram Research, Inc.;Champaign, Illinois, United States'}, {'name': 'Oluwaseun Sharomi, MSc, PhD', 'details': 'Principal Scientist;Merck & Co., Inc.;Lansdale, Pennsylvania, United States'}, {'name': 'Manon Breau Brunel, n/a', 'details': 'MSD, Paris, France;Paris, Ile-de-France, France'}, {'name': 'Gaelle Farge, n/a', 'details': 'MSD, Paris, France;Paris, Ile-de-France, France'}, {'name': 'Jeremy Carette, n/a', 'details': 'MSD, Paris, France;Paris, Ile-de-France, France'}, {'name': 'Robert Nachbar, PhD', 'details': 'Wolfram Research, Inc.;Champaign, Illinois, United States'}]",695190,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=10,
