poster_id,source_url,track_code,track_name,session_type,presentation_id,title,date,time,timezone,location,presenting_author_name,presenting_author_title,presenting_author_institution,presenting_author_location,total_presenting_authors,total_co_authors,all_presenting_authors,all_co_authors
1,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=1,B4.,B4. Studies of microbial factors that govern susceptibility to microbial infection and disease,,P-1533,In silico Exploration of Cannabidiol Interactions with Outer Membrane Proteins in Salmonella Typhimurium LT2,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Ibrahim Iddrisu, Doctorate (he/him/his)",Graduate Student,Alabama State University,"Montgomery, AL, United States",1,5,"Ibrahim Iddrisu, Doctorate (he/him/his)","Emmanuel Ndezure, n/a; Junhuan Xu, Doctorate; Robertson k Boakai, Doctorate; Olufemi S Ajayi, Doctorate; Joseph Ayariga, Doctorate"
2,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=2,B1.,B1. Studies of correlates of protection (or biomarkers) against microbial infection and disease in patients or experimental models,,P-1534,Development of PCRSeqTyping to Differentiate Streptococcus pneumoniae (SP) Serotypes 15B and 15C,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Ilan Rozen Eisenberg, MD, MMS",Clinical Fellow,Boston Medical Center / Boston University,"Brookline, MA, United States",1,2,"Ilan Rozen Eisenberg, MD, MMS","Yazdani Shaik-Dasthagirisaheb, PhD; Stephen Pelton, MD"
3,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=3,D1.,D1. Diagnostics: Bacteriology/mycobacteriology,,P-1704,Q Fever in Adults: A Comprehensive Overview of Clinical Symptoms and Diagnostic Approaches for Coxiella burnetii in Muscat Oman.,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Surkhab Khan, MBBS (she/her/hers)",Resident,Oman Medical Specialty Board - Ministry of health Oman,"Muscat, Masqat, Oman",1,1,"Surkhab Khan, MBBS (she/her/hers)","Hilal Al Sidairi, n/a"
4,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=4,N9.,"N9. Health Care-Associated Infections: Gram-positives (MRSA, MSSA, VRE)",,P-1084,Long Story Short: How Long Should We Treat VRE Bacteremia?,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Virtual,"M. Gabriela Cabanilla, PharmD, PhC","Assistant Professor, Infectious Diseases Pharmacist Clinician",University of New Mexico Health Sciences Center,"Albuquerque, NM, United States",1,2,"M. Gabriela Cabanilla, PharmD, PhC","Eleazar Torres, PharmD, PhC; Nicole Hlavacek, PharmD"
5,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=5,,K. Tuberculosis and other Mycobacterial Infections,,P-1400,Development of a community advisory group for TB research,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Padmasayee Papineni, MRCP",Consultant in Infectious Diseases,London North West University Healthcare NHS Trust,"London, England, United Kingdom",1,0,"Padmasayee Papineni, MRCP",
6,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=6,C3.,C3. Skin and soft tissue,,P-752,Prevalence and risk factors for bacterial resistance in infections in hospitalized burn patients in a referral hospital in Nicaragua,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Kevin A. Sandoval-Rojas, MD (he/him/his)",Department of Internal Medicine,Hospital Dr. Fernando Vélez Paiz,"Managua, Managua, Nicaragua",1,4,"Kevin A. Sandoval-Rojas, MD (he/him/his)","Marvin Castro-Averruz, MD; Kevin Gavarrete-Rivas, CDPH; Sunaya Marenco-Avilés, CDPH; Guillermo D. Porras-Cortés, MD (he/him/his)"
7,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=7,A1.,A1. Novel Agents,,P-1177,The Single-Center Descriptive Analysis for the Efficacy and Adverse Reactions of the All-oral Short-term Regimen Containing Contezolid in the Treatment of Patients with Multidrug-resistant/Rifampicin-resistant Pulmonary Tuberculosis,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Yuxia Zhang, Associate Chief Physician",Associate Chief Physician,"Department of Tuberculosis VII, Shandong Public Health Clinical Center Affiliated to Shandong University","Jinan, Shandong, China (People's Republic)",1,5,"Yuxia Zhang, Associate Chief Physician","Yu Xiong, Chief Physician; Tingting Chang, Associate Chief Physician (she/her/hers); Yanming Sun, Attending Physician; Zhiyuan Zhao, Attending Physician; Fengxia Liu, Bachelor"
8,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=8,Z10.,Z10. COVID-19 Impact of social distancing/mitigation measures,,P-1628,Cause Of COVID-19 Outbreaks in Outdoor Sports: A Systematic Review,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Masaki Machida, MD, Ph.D (he/him/his)",Associate Professor,Tokyo Medical University,"Shinjuku-ku, Tokyo, Japan",1,3,"Masaki Machida, MD, Ph.D (he/him/his)","Koichi Dai, M.D.; Itaru Nakamura, M.D., Ph.D; Shigeru Inoue, M.D., Ph.D"
9,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=9,,,,P-2235,Knee-ther here nor there!,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Feargal A. Donaghy, MB BCh BAO",Infectious Disease Fellow,Cincinnati Children's Hospital,"Cincinnati, OH, United States",1,1,"Feargal A. Donaghy, MB BCh BAO","William R. Otto, MD, MSCE (he/him/his)"
10,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=10,J4.,J4. Home Health/OPAT,,P-1855,Enhancing Patient Outcomes in Outpatient Parenteral Antimicrobial Therapy (OPAT): The Role of the Multidisciplinary Team,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Virtual,"Eka Beriashvili, PharmD (she/her/hers)",Clinical Pharmacy Specialist - Infectious Disease,Memorial Healthcare System,"FortLauderdale, FL, United States",1,7,"Eka Beriashvili, PharmD (she/her/hers)","Maribel Galeano, RN; Ryan Rosen, PA; Paula A. Eckardt, MD; Sheila Montalvo, PharmD; Alecia Muwonge, PharmD; Dana J. Holger, Pharm.D., MPH, AAHIVP; Garrett Van Ostran, DO"
11,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=11,C7.,C7. Bacteremia,,P-49,Clinical characteristics and treatment outcomes of Acinetobacter baumannii bloodstream infections in a setting with high carbapenem-susceptibility among isolates,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Virtual,"Jinghao Nicholas Ngiam, MBBS",Associate Consultant,National University Health System,"Singapore, Singapore",1,2,"Jinghao Nicholas Ngiam, MBBS","Matthew CY Koh, MD; Ka Lip Chew, MBBS/B. Med. Sci., FRCPath, FRCPA"
