session_id,session_type,session_title,session_date,session_location,presentation_id,presentation_time,presentation_title,speaker_name,speaker_affiliation
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607351,8:00 AM - 9:50 AM,Case Presentations,"Natasha Chida, MD, MSPH",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1676941,8:10 AM - 8:25 AM,Case Presentation #1,"Ana Khazan, MD, MPH (she/her/hers)",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1676943,8:25 AM - 8:40 AM,Case Presentation #2,"Samar Waqar, MD, MBBS",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1676946,8:40 AM - 8:55 AM,Case Presentation #3,"Jillian L. Peters, MD",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1676948,8:55 AM - 9:10 AM,Case Presentation #4,"Rahma AlDhaheri, MD",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1676951,9:10 AM - 9:25 AM,Case Presentation #5,"Deesha Bhojwani, MD",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1676953,9:25 AM - 9:40 AM,Case Presentation #6,"Annie McGregor, DO",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1676955,9:40 AM - 9:55 AM,Case Presentation #7,"Rebekah Thompson, MD",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607496,10:00 AM - 10:25 AM,Compensation & Legal Review,Clark Bosslet,
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607491,10:25 AM - 10:45 AM,Career Breakouts Introductions,,
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607490,10:50 AM - 11:15 AM,Career Breakouts Round 1,,
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607482,10:50 AM - 12:15 PM,Careers in Antimicrobial Stewardship,"Payal K. Patel, MD, MPH, FIDSA (she/her/hers)",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607489,10:50 AM - 12:15 PM,Careers in Clinical Practice,"George Diaz, MD, FIDSA (he/him/his)",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607488,10:50 AM - 12:15 PM,Careers in Global Health,"Krutika Kuppalli, MD, FIDSA (she/her/hers)",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607487,10:50 AM - 12:15 PM,Careers in Hospital Epidemiology and Infection Prevention,"Lisa L. Maragakis, MD, MPH (she/her/hers)",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607485,10:50 AM - 12:15 PM,Careers in Medical Education,"Jennifer O. Spicer, MD, MPH, MHPE",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607484,10:50 AM - 12:15 PM,Careers in Public Health,"Candice J. McNeil, MD, MPH (she/her/hers)",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607483,10:50 AM - 12:15 PM,Careers in Research,"Cesar A. Arias, MD/PhD",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607486,10:50 AM - 12:15 PM,Careers in Transplant/Oncology ID - no slides needed,"Maricar F. Malinis, MD (she/her/hers)",
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607481,11:20 AM - 11:45 AM,Career Breakouts Round 2,,
1,Premeeting Workshop,PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",B302-B304,1607480,11:50 AM - 12:15 PM,Career Breakouts Round 3,,
2,Symposium,261 - Infectious Diseases 2026: Charting the Path Forward,"Wednesday, October 22, 2025",Ballroom (Hall B1),1665834,3:15 PM - 3:40 PM,Global Public Health Partnerships,"Tom Frieden, MD, MPH",
2,Symposium,261 - Infectious Diseases 2026: Charting the Path Forward,"Wednesday, October 22, 2025",Ballroom (Hall B1),1665839,3:40 PM - 4:05 PM,National Public Health Partnerships,"Michael Osterholm, PhD, MPH (he/him/his)",
2,Symposium,261 - Infectious Diseases 2026: Charting the Path Forward,"Wednesday, October 22, 2025",Ballroom (Hall B1),1665840,4:05 PM - 4:30 PM,Communications and Educating the Public,"Katelyn Jetlina, PhD, MPH (she/her/hers)",
3,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606983,2:05 PM - 2:40 PM,The Next Frontier: Preparing for Zoonotic Spillover Events,"Natalie E. Dean, PhD (she/her/hers)",
3,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606982,2:40 PM - 3:15 PM,Challenges in Developing Diagnostics for Emerging Infections,Alison Kelly,
4,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606980,1:30 PM - 2:05 PM,Emerging Infections in Sub-Saharan Africa and the Americas,"Krutika Kuppalli, MD, FIDSA (she/her/hers)",
4,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606983,2:05 PM - 2:40 PM,The Next Frontier: Preparing for Zoonotic Spillover Events,"Natalie E. Dean, PhD (she/her/hers)",
4,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606982,2:40 PM - 3:15 PM,Challenges in Developing Diagnostics for Emerging Infections,Alison Kelly,
5,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606980,1:30 PM - 2:05 PM,Emerging Infections in Sub-Saharan Africa and the Americas,"Krutika Kuppalli, MD, FIDSA (she/her/hers)",
5,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606983,2:05 PM - 2:40 PM,The Next Frontier: Preparing for Zoonotic Spillover Events,"Natalie E. Dean, PhD (she/her/hers)",
6,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606980,1:30 PM - 2:05 PM,Emerging Infections in Sub-Saharan Africa and the Americas,"Krutika Kuppalli, MD, FIDSA (she/her/hers)",
6,Symposium,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",Sidney J. Marcus Auditorium,1606982,2:40 PM - 3:15 PM,Challenges in Developing Diagnostics for Emerging Infections,Alison Kelly,
7,Meet-The-Professor,16 - The Use of Point-of-Care Ultrasound in ID,"Monday, October 20, 2025",B308-B309,1606985,8:00 AM - 8:30 AM,Use of POCUS in the Diagnosis and Management of Sepsis and Septic Shock,Dan Sweeney,
8,Meet-The-Professor,16 - The Use of Point-of-Care Ultrasound in ID,"Monday, October 20, 2025",B308-B309,1606984,8:30 AM - 9:00 AM,Practical Questions: Incorporating POCUS Into ID Practice,Speaker TBD,
9,Meet-The-Professor,195 - You Do What? Combined ID Fellowships,"Wednesday, October 22, 2025",B314,1606996,8:30 AM - 9:00 AM,ID/Addiction Med,"Wei-Teng Yang, MD MPH (he/him/his)",
10,Symposium,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,"Monday, October 20, 2025",B312-B313,1606992,3:15 PM - 3:40 PM,Advancing Health Justice for Children,"Judith A. Guzman-Cottrill, DO (she/her/hers)",
10,Symposium,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,"Monday, October 20, 2025",B312-B313,1606991,3:40 PM - 4:05 PM,Planting Seeds for a Just Future: Navigating Forward Through Challenge and Change,"Oni Blackstock, MD, MHS",
10,Symposium,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,"Monday, October 20, 2025",B312-B313,1606990,4:05 PM - 4:30 PM,Protecting the Marginalized: The Future of Transgender Care,"Jill Blumenthal, MD MAS (she/her/hers)",
