session_id,source_url,primary_track,all_tracks,track_count,session_type,session_number,session_title,full_title,date,time,timezone,location,cme_hours,moc_hours,cne_hours,acpe_hours,acpe_number,pace_hours,ce_broker_hours,primary_speaker_name,primary_speaker_title,primary_speaker_department,primary_speaker_institution,primary_speaker_location,total_speakers,all_speakers,disclosure_count,disclosures,presentation_count,presentation_titles,presentation_times,presentation_speakers
1,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=1,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Anu Osinusi, MD",Clinical Research,,Gilead,"Foster City, CA, United States",2,"Anu Osinusi, MD; Florencia Segal",1,"\1: gilead sciences: employee, Stocks/Bonds (Public Company)",21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
2,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=2,Adult ID,Adult ID; Epi & Infection Control; Global ID; Investigative ID; HIV-STD-TB; Pediatric ID; Trainee; Transplant; COVID-19,9,Symposium,,261 - Infectious Diseases 2026: Charting the Path Forward,261 - Infectious Diseases 2026: Charting the Path Forward,"Wednesday, October 22, 2025",3:15 PM - 4:30 PM,,Ballroom (Hall B1),,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Ruth Lynfield, MD (she/her/hers)",State Epidemiologist and Medical Director,,Minnesota Department of Health,"St. Paul, MN, United States",2,"Ruth Lynfield, MD (she/her/hers); ​​​​Tina Q. Tan, MD, MD (she/her/hers)",1,\1: No financial relationships to disclose.,3,Global Public Health Partnerships | National Public Health Partnerships | Communications and Educating the Public,3:15 PM - 3:40 PM | 3:40 PM - 4:05 PM | 4:05 PM - 4:30 PM,"Tom Frieden, MD, MPH | Michael Osterholm, PhD, MPH (he/him/his) | Katelyn Jetlina, PhD, MPH (she/her/hers)"
3,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=3,,,0,Symposium,,3 - Emerging Infections You Should Know About,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",1:30 PM - 3:15 PM,,Sidney J. Marcus Auditorium,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Krutika Kuppalli, MD, FIDSA (she/her/hers)","Associate Professor, Infectious Diseases and Public Health",,UT Southwestern,"Dallas, TX, United States",1,"Krutika Kuppalli, MD, FIDSA (she/her/hers)",1,\1: Gilead Sciences: Advisor/Consultant; Safety Platform for Emergency Vaccines (SPEAC): Advisor/Consultant; World Health Organization: Advisor/Consultant,2,The Next Frontier: Preparing for Zoonotic Spillover Events | Challenges in Developing Diagnostics for Emerging Infections,2:05 PM - 2:40 PM | 2:40 PM - 3:15 PM,"Natalie E. Dean, PhD (she/her/hers) | Alison Kelly"
4,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=4,Adult ID,Adult ID; Epi & Infection Control; Investigative ID; Trainee,4,Symposium,,3 - Emerging Infections You Should Know About,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",1:30 PM - 3:15 PM,,Sidney J. Marcus Auditorium,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Taison Bell,Taison Bell,,,,2,"Taison Bell; Lawrence Madoff, MD",1,\1: No financial relationships to disclose.,3,Emerging Infections in Sub-Saharan Africa and the Americas | The Next Frontier: Preparing for Zoonotic Spillover Events | Challenges in Developing Diagnostics for Emerging Infections,1:30 PM - 2:05 PM | 2:05 PM - 2:40 PM | 2:40 PM - 3:15 PM,"Krutika Kuppalli, MD, FIDSA (she/her/hers) | Natalie E. Dean, PhD (she/her/hers) | Alison Kelly"
5,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=5,,,0,Symposium,,3 - Emerging Infections You Should Know About,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",1:30 PM - 3:15 PM,,Sidney J. Marcus Auditorium,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Alison Kelly,Alison Kelly,,,,1,Alison Kelly,1,\1: No financial relationships to disclose.,2,Emerging Infections in Sub-Saharan Africa and the Americas | The Next Frontier: Preparing for Zoonotic Spillover Events,1:30 PM - 2:05 PM | 2:05 PM - 2:40 PM,"Krutika Kuppalli, MD, FIDSA (she/her/hers) | Natalie E. Dean, PhD (she/her/hers)"
6,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=6,,,0,Symposium,,3 - Emerging Infections You Should Know About,3 - Emerging Infections You Should Know About,"Sunday, October 19, 2025",1:30 PM - 3:15 PM,,Sidney J. Marcus Auditorium,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Natalie Dean, PhD (she/her/hers)",Associate Professor of Biostatistics,,Emory Rollins School of Public Health,"Atlanta, GA, United States",1,"Natalie Dean, PhD (she/her/hers)",1,\1: Bavarian Nordic: Grant/Research Support; Emergent Biosolutions: Grant/Research Support; Janssen Vaccines & Prevention B.V.: Advisor/Consultant,2,Emerging Infections in Sub-Saharan Africa and the Americas | Challenges in Developing Diagnostics for Emerging Infections,1:30 PM - 2:05 PM | 2:40 PM - 3:15 PM,"Krutika Kuppalli, MD, FIDSA (she/her/hers) | Alison Kelly"
7,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=7,,,0,Meet-The-Professor,,16 - The Use of Point-of-Care Ultrasound in ID,16 - The Use of Point-of-Care Ultrasound in ID,"Monday, October 20, 2025",8:00 AM - 9:00 AM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Speaker TBD,"TBD, United States",,,,1,Speaker TBD,1,\1: No financial relationships to disclose.,1,Use of POCUS in the Diagnosis and Management of Sepsis and Septic Shock,8:00 AM - 8:30 AM,Dan Sweeney
8,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=8,,,0,Meet-The-Professor,,16 - The Use of Point-of-Care Ultrasound in ID,16 - The Use of Point-of-Care Ultrasound in ID,"Monday, October 20, 2025",8:00 AM - 9:00 AM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Dan Sweeney,Dan Sweeney,,,,1,Dan Sweeney,1,\1: No financial relationships to disclose.,1,Practical Questions: Incorporating POCUS Into ID Practice,8:30 AM - 9:00 AM,Speaker TBD
9,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=9,,,0,Meet-The-Professor,,195 - You Do What? Combined ID Fellowships,195 - You Do What? Combined ID Fellowships,"Wednesday, October 22, 2025",8:00 AM - 9:00 AM,,B314,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Lisa Bebell, MD, MSc",,,Associate Professor and Physician,Harvard Medical School and Massachusetts General Hospital,1,"Lisa Bebell, MD, MSc",1,\1: No financial relationships to disclose.,1,ID/Addiction Med,8:30 AM - 9:00 AM,"Wei-Teng Yang, MD MPH (he/him/his)"
10,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=10,Adult ID,Adult ID; Epi & Infection Control; Investigative ID; Trainee,4,Symposium,,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B312-B313,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Taison Bell,Taison Bell,,,,2,Taison Bell; Speaker TBD,1,\1: No financial relationships to disclose.,3,Advancing Health Justice for Children | Planting Seeds for a Just Future: Navigating Forward Through Challenge and Change | Protecting the Marginalized: The Future of Transgender Care,3:15 PM - 3:40 PM | 3:40 PM - 4:05 PM | 4:05 PM - 4:30 PM,"Judith A. Guzman-Cottrill, DO (she/her/hers) | Oni Blackstock, MD, MHS | Jill Blumenthal, MD MAS (she/her/hers)"
